DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-08-12,72.05,76.4,72.05,75.9,96.25,32.4,TBZ
2021-08-11,72.8,74.0,68.55,71.6,96.25,32.4,TBZ
2021-08-10,79.95,82.35,74.0,75.5,96.25,32.4,TBZ
2021-08-09,83.1,84.5,79.85,80.65,96.25,32.4,TBZ
2021-08-06,80.95,84.0,80.95,82.5,96.25,32.4,TBZ
2021-08-05,83.9,84.65,78.35,81.0,96.25,32.4,TBZ
2021-08-04,90.0,91.1,82.2,83.9,96.25,32.4,TBZ
2021-08-03,85.9,92.25,85.4,90.45,96.25,32.4,TBZ
2021-08-02,85.0,88.8,84.7,85.9,96.25,32.4,TBZ
2021-07-30,85.75,87.85,83.85,84.25,96.25,32.05,TBZ
2021-07-29,88.65,89.4,85.6,86.1,96.25,32.05,TBZ
2021-07-28,89.75,90.9,84.5,88.25,96.25,32.05,TBZ
2021-07-27,88.4,91.0,86.1,89.1,96.25,32.05,TBZ
2021-07-26,84.0,89.5,83.15,87.5,96.25,32.05,TBZ
2021-07-23,84.0,85.0,82.55,83.75,96.25,29.1,TBZ
2021-07-22,81.6,87.0,81.6,83.75,96.25,29.1,TBZ
2021-07-20,81.85,82.6,80.5,81.2,96.25,29.1,TBZ
2021-07-19,81.25,82.6,80.15,81.85,96.25,29.1,TBZ
2021-07-16,81.25,83.0,81.2,81.5,96.25,28.35,TBZ
2021-07-15,83.7,84.3,81.1,81.85,96.25,28.35,TBZ
2021-07-14,82.3,85.5,82.15,82.8,96.25,28.35,TBZ
2021-07-13,81.0,83.3,80.8,82.3,96.25,28.35,TBZ
2021-07-12,80.7,82.45,80.25,80.5,96.25,28.35,TBZ
2021-07-09,80.95,81.3,79.65,80.55,96.25,28.35,TBZ
2021-07-08,83.05,84.4,79.15,80.6,96.25,28.35,TBZ
2021-07-07,85.5,86.1,83.15,83.85,96.25,28.35,TBZ
2021-07-06,79.1,84.7,79.1,83.9,96.25,28.35,TBZ
2021-07-05,79.9,82.5,78.8,79.25,96.25,28.35,TBZ
2021-07-02,78.5,80.5,78.35,78.75,96.25,28.15,TBZ
2021-07-01,79.3,80.0,78.0,78.5,96.25,28.15,TBZ
2021-06-30,79.05,79.95,78.25,78.55,96.25,28.15,TBZ
2021-06-29,79.7,81.0,78.1,78.6,96.25,28.15,TBZ
2021-06-28,80.8,82.9,79.55,80.2,96.25,28.15,TBZ
2021-06-25,81.4,82.75,79.45,80.15,96.25,28.15,TBZ
2021-06-24,81.05,83.25,80.1,80.4,96.25,28.15,TBZ
2021-06-23,83.0,83.35,80.25,80.5,96.25,28.15,TBZ
2021-06-22,82.4,83.85,81.2,82.7,96.25,28.15,TBZ
2021-06-21,79.2,81.85,77.0,80.9,96.25,28.15,TBZ
2021-06-18,84.1,84.55,77.25,80.35,96.25,28.0,TBZ
2021-06-17,83.95,87.35,82.35,83.1,96.25,28.0,TBZ
2021-06-16,80.0,82.85,78.6,81.8,96.25,28.0,TBZ
2021-06-15,79.9,80.95,78.5,79.4,96.25,28.0,TBZ
2021-06-14,80.2,81.15,78.2,79.35,96.25,28.0,TBZ
2021-06-11,82.4,82.4,80.1,80.6,96.25,25.3,TBZ
2021-06-10,81.1,82.3,80.65,81.05,96.25,25.3,TBZ
2021-06-09,81.4,84.35,80.5,81.15,96.25,25.3,TBZ
2021-06-08,82.5,82.85,80.1,80.7,96.25,25.3,TBZ
2021-06-07,84.55,84.6,81.35,82.0,96.25,25.3,TBZ
2021-06-04,83.0,88.85,82.5,84.55,96.25,21.0,TBZ
2021-06-03,76.0,81.25,75.7,80.65,96.25,21.0,TBZ
2021-06-02,74.9,76.65,74.05,75.65,96.25,21.0,TBZ
2021-06-01,74.65,78.2,74.5,75.2,96.25,21.0,TBZ
2021-05-31,76.4,76.45,74.25,74.65,96.25,21.0,TBZ
2021-05-28,79.5,79.9,76.0,76.4,96.25,19.8,TBZ
2021-05-27,79.3,79.9,77.35,77.95,96.25,19.8,TBZ
2021-05-26,79.7,82.65,79.0,79.3,96.25,19.8,TBZ
2021-05-25,78.95,82.4,77.15,78.4,96.25,19.8,TBZ
2021-05-24,77.95,78.7,75.75,76.0,96.25,19.8,TBZ
2021-05-21,77.7,82.0,75.9,78.15,96.25,19.65,TBZ
2021-05-20,71.25,76.4,70.4,75.1,96.25,19.65,TBZ
2021-05-19,71.95,72.3,69.55,70.3,96.25,19.65,TBZ
2021-05-18,71.95,72.2,70.65,71.3,96.25,19.65,TBZ
2021-05-17,72.4,73.2,70.25,70.75,96.25,19.65,TBZ
2021-05-14,76.5,76.5,71.3,72.2,96.25,19.65,TBZ
2021-05-12,76.5,77.8,73.8,74.95,96.25,19.65,TBZ
2021-05-11,66.9,74.35,66.0,73.25,96.25,19.65,TBZ
2021-05-10,66.35,68.9,65.4,67.5,96.25,19.65,TBZ
2021-05-07,64.35,67.5,63.1,65.85,96.25,19.65,TBZ
2021-05-06,64.0,65.45,62.8,63.45,96.25,19.65,TBZ
2021-05-05,62.8,64.5,61.75,63.5,96.25,19.65,TBZ
2021-05-04,63.0,64.5,61.4,62.25,96.25,19.65,TBZ
2021-05-03,63.0,66.5,62.4,64.85,96.25,19.65,TBZ
2021-04-30,62.0,64.8,61.8,62.75,96.25,19.65,TBZ
2021-04-29,64.3,64.3,62.2,62.55,96.25,19.65,TBZ
2021-04-28,63.05,64.0,62.85,63.45,96.25,19.65,TBZ
2021-04-27,61.95,64.3,61.8,62.85,96.25,19.65,TBZ
2021-04-26,62.0,62.4,60.5,61.5,96.25,19.65,TBZ
2021-04-23,62.0,62.4,58.95,61.1,96.25,19.65,TBZ
2021-04-22,60.0,63.3,58.2,61.25,96.25,19.65,TBZ
2021-04-20,59.8,61.5,59.7,59.8,96.25,19.65,TBZ
2021-04-19,62.0,62.0,58.95,59.45,96.25,19.65,TBZ
2021-04-16,62.65,63.0,62.05,62.55,96.25,19.65,TBZ
2021-04-15,63.0,63.1,61.2,62.65,96.25,19.65,TBZ
2021-04-13,63.5,64.05,61.5,63.1,96.25,19.65,TBZ
2021-04-12,64.1,67.0,60.0,61.8,96.25,19.65,TBZ
2021-04-09,67.4,68.6,66.3,67.15,96.25,19.65,TBZ
2021-04-08,65.5,67.5,65.35,65.95,96.25,19.65,TBZ
2021-04-07,64.7,65.8,63.2,64.95,96.25,19.65,TBZ
2021-04-06,65.1,66.0,64.05,64.7,96.25,19.65,TBZ
2021-04-05,65.7,65.7,62.95,64.55,96.25,19.65,TBZ
2021-04-01,62.95,68.75,62.45,65.85,96.25,17.35,TBZ
2021-03-31,61.45,63.6,61.4,62.15,96.25,17.35,TBZ
2021-03-30,64.55,64.55,61.25,61.85,96.25,17.35,TBZ
2021-03-26,64.5,66.05,62.3,63.0,96.25,16.45,TBZ
2021-03-25,68.35,68.4,62.75,63.55,96.25,16.45,TBZ
2021-03-24,67.7,69.65,66.05,66.6,96.25,16.45,TBZ
2021-03-23,68.8,69.45,67.0,67.7,96.25,16.45,TBZ
2021-03-22,67.0,69.7,66.85,67.8,96.25,16.45,TBZ
2021-03-19,67.05,67.2,63.2,66.15,96.25,16.45,TBZ
2021-03-18,73.0,74.0,67.5,67.9,96.25,16.45,TBZ
2021-03-17,73.65,74.5,71.35,72.15,96.25,16.45,TBZ
2021-03-16,76.8,78.6,72.15,73.0,96.25,16.45,TBZ
2021-03-15,77.4,77.45,74.1,76.2,96.25,16.45,TBZ
2021-03-12,79.4,82.9,75.65,76.85,96.25,16.45,TBZ
2021-03-10,72.95,73.4,71.7,72.25,96.25,16.45,TBZ
2021-03-09,76.5,76.55,68.1,71.4,96.25,16.45,TBZ
2021-03-08,76.55,77.2,75.0,75.65,96.25,16.45,TBZ
2021-03-05,77.7,78.4,74.35,76.45,96.25,16.45,TBZ
2021-03-04,76.05,80.95,75.4,77.9,96.25,16.45,TBZ
2021-03-03,75.5,76.65,74.8,75.4,96.25,16.45,TBZ
2021-03-02,78.0,78.65,75.25,75.95,96.25,16.45,TBZ
2021-03-01,74.15,79.0,74.15,77.35,96.25,16.45,TBZ
2021-02-26,75.3,75.3,72.5,73.3,96.25,16.45,TBZ
2021-02-25,75.1,76.8,75.0,75.4,96.25,16.45,TBZ
2021-02-24,74.9,76.9,74.2,75.1,96.25,16.45,TBZ
2021-02-23,75.0,75.0,72.4,74.45,96.25,16.45,TBZ
2021-02-22,75.0,75.7,71.75,72.25,96.25,16.45,TBZ
2021-02-19,77.5,78.1,73.15,74.4,96.25,16.45,TBZ
2021-02-18,78.95,79.15,76.6,77.15,96.25,16.45,TBZ
2021-02-17,78.65,79.65,77.7,78.65,96.25,16.45,TBZ
2021-02-16,80.3,81.8,77.45,78.15,96.25,16.45,TBZ
2021-02-15,81.45,82.4,79.3,80.05,96.25,16.45,TBZ
2021-02-12,81.5,83.2,79.8,80.75,96.25,16.45,TBZ
2021-02-11,80.4,84.15,78.25,81.8,96.25,16.45,TBZ
2021-02-10,80.6,82.1,78.15,80.7,96.25,16.45,TBZ
2021-02-09,87.0,87.0,80.0,80.55,96.25,16.45,TBZ
2021-02-08,75.8,77.9,71.9,75.45,96.25,16.45,TBZ
2021-02-05,77.2,77.95,74.7,75.3,96.25,16.45,TBZ
2021-02-04,76.0,77.85,75.45,75.75,96.25,16.45,TBZ
2021-02-03,76.2,77.9,74.75,75.65,96.25,16.45,TBZ
2021-02-02,78.4,80.8,74.5,75.6,96.25,16.45,TBZ
2021-02-01,73.55,78.9,70.6,78.05,96.25,16.45,TBZ
2021-01-29,72.1,73.5,71.0,71.75,96.25,16.45,TBZ
2021-01-28,69.95,73.8,68.6,71.7,96.25,16.45,TBZ
2021-01-27,73.75,73.9,69.55,70.7,96.25,16.45,TBZ
2021-01-25,78.3,78.3,71.8,72.5,96.25,16.45,TBZ
2021-01-22,77.75,79.0,74.2,75.7,96.25,16.45,TBZ
2021-01-21,79.7,81.3,73.65,74.95,96.25,16.45,TBZ
2021-01-20,78.25,81.9,78.0,79.15,96.25,16.45,TBZ
2021-01-19,71.4,77.4,71.4,77.4,96.25,16.45,TBZ
2021-01-18,73.0,75.7,69.2,70.4,96.25,16.45,TBZ
2021-01-15,80.5,80.9,75.55,75.95,96.25,16.45,TBZ
2021-01-14,81.5,83.5,79.1,79.95,96.25,16.45,TBZ
2021-01-13,84.6,86.85,81.3,84.15,96.25,16.45,TBZ
2021-01-12,85.8,87.5,83.55,84.3,96.25,16.45,TBZ
2021-01-11,82.5,88.5,78.6,85.45,96.25,16.45,TBZ
2021-01-08,90.0,90.0,84.6,84.9,96.25,16.45,TBZ
2021-01-07,91.8,96.25,90.3,93.95,96.25,16.45,TBZ
2021-01-06,73.7,88.7,73.0,87.5,88.7,16.45,TBZ
2021-01-05,63.45,75.5,62.65,73.95,75.5,16.45,TBZ
2021-01-04,64.35,65.75,63.5,64.4,66.05,16.45,TBZ
2021-01-01,63.0,66.05,61.8,64.35,66.05,16.45,TBZ
2020-12-31,60.2,65.8,58.6,62.8,65.8,16.45,TBZ
2020-12-30,54.9,63.75,53.5,61.0,63.75,16.45,TBZ
2020-12-29,58.5,58.5,53.1,54.05,58.5,16.45,TBZ
2020-12-28,47.95,56.7,47.95,55.9,56.7,16.45,TBZ
2020-12-24,48.3,48.7,47.0,47.25,52.8,16.45,TBZ
2020-12-23,44.9,50.45,44.9,47.9,52.8,16.45,TBZ
2020-12-22,45.7,46.0,42.4,44.55,52.8,16.45,TBZ
2020-12-21,50.3,51.1,44.6,45.15,52.8,16.45,TBZ
2020-12-18,50.45,52.8,49.05,50.2,52.8,16.45,TBZ
2020-12-17,48.55,52.3,47.7,50.0,52.3,16.45,TBZ
2020-12-16,46.95,51.2,46.8,48.3,51.2,16.45,TBZ
2020-12-15,48.3,48.45,46.35,46.95,50.3,16.45,TBZ
2020-12-14,46.85,49.3,46.05,48.65,50.3,16.45,TBZ
2020-12-11,46.05,48.3,46.05,46.55,50.3,16.45,TBZ
2020-12-10,47.3,47.7,45.5,46.15,50.3,16.45,TBZ
2020-12-09,47.4,49.8,46.55,47.3,50.3,16.45,TBZ
2020-12-08,47.35,48.0,46.2,47.1,50.3,16.45,TBZ
2020-12-07,48.05,48.35,46.5,47.2,50.3,16.45,TBZ
2020-12-04,48.0,50.3,47.2,48.4,50.3,16.45,TBZ
2020-12-03,45.5,47.25,45.0,46.55,47.6,16.45,TBZ
2020-12-02,44.85,46.55,43.7,46.05,47.6,16.45,TBZ
2020-12-01,42.5,46.0,41.8,44.85,47.6,16.45,TBZ
2020-11-27,42.15,42.7,41.9,42.2,47.6,16.45,TBZ
2020-11-26,41.7,42.35,41.3,42.0,47.6,16.45,TBZ
2020-11-25,42.0,42.6,41.5,41.7,47.6,16.45,TBZ
2020-11-24,42.5,42.9,41.5,41.95,47.6,16.45,TBZ
2020-11-23,43.7,43.9,41.7,42.35,47.6,16.45,TBZ
2020-11-20,41.7,45.75,41.3,43.85,47.6,16.45,TBZ
2020-11-19,40.05,43.95,39.25,41.4,47.6,16.45,TBZ
2020-11-18,41.5,41.8,40.15,40.25,47.6,16.45,TBZ
2020-11-17,42.55,43.4,41.05,41.45,47.6,16.45,TBZ
2020-11-14,45.85,45.95,43.2,43.55,47.6,16.45,TBZ
2020-11-13,46.1,47.6,45.35,45.7,47.6,16.45,TBZ
2020-11-12,44.25,46.8,44.25,45.55,46.8,16.45,TBZ
2020-11-11,42.75,42.8,40.35,42.2,43.7,16.45,TBZ
2020-11-10,42.9,43.5,41.2,42.05,43.7,16.45,TBZ
2020-11-09,42.35,42.7,40.5,40.7,43.7,16.45,TBZ
2020-11-06,40.75,42.7,39.6,42.1,45.9,16.45,TBZ
2020-11-05,39.6,41.45,38.5,40.5,45.9,16.45,TBZ
2020-11-04,38.85,38.95,37.7,37.9,45.9,16.45,TBZ
2020-11-03,38.05,38.4,37.35,37.75,45.9,16.45,TBZ
2020-11-02,38.0,40.5,36.85,38.35,45.9,16.45,TBZ
2020-10-30,38.15,38.2,36.9,37.0,45.95,16.45,TBZ
2020-10-29,37.8,38.2,36.6,37.4,45.95,16.45,TBZ
2020-10-28,38.0,38.8,37.75,37.85,45.95,16.45,TBZ
2020-10-27,38.8,38.85,37.75,38.35,45.95,16.45,TBZ
2020-10-26,38.9,39.65,38.1,38.35,45.95,16.45,TBZ
2020-10-23,39.65,39.65,38.35,38.8,52.8,16.45,TBZ
2020-10-22,37.9,39.9,37.85,39.0,52.8,16.45,TBZ
2020-10-21,37.9,37.9,36.8,37.1,52.8,16.45,TBZ
2020-10-20,37.35,38.45,36.9,37.3,52.8,16.45,TBZ
2020-10-19,37.25,37.4,36.6,36.95,52.8,16.45,TBZ
2020-10-16,36.9,37.4,36.45,36.85,52.8,16.45,TBZ
2020-10-15,36.9,37.5,36.6,36.75,52.8,16.45,TBZ
2020-10-14,37.2,37.65,36.3,36.7,52.8,16.45,TBZ
2020-10-13,37.1,38.2,37.1,37.4,52.8,16.45,TBZ
2020-10-12,38.8,38.95,37.3,37.55,52.8,16.45,TBZ
2020-10-09,39.0,39.1,38.5,38.6,52.8,16.45,TBZ
2020-10-08,39.65,40.95,38.05,39.4,52.8,16.45,TBZ
2020-10-07,37.0,39.95,36.65,38.2,52.8,16.45,TBZ
2020-10-06,38.0,38.5,37.0,37.3,52.8,16.45,TBZ
2020-10-05,36.75,36.9,36.35,36.45,52.8,16.45,TBZ
2020-10-01,36.95,37.05,36.3,36.7,52.8,16.45,TBZ
2020-09-30,36.1,38.2,36.1,36.75,52.8,16.45,TBZ
2020-09-29,38.4,38.4,36.35,36.75,52.8,16.45,TBZ
2020-09-28,36.9,39.0,36.0,37.9,52.8,16.45,TBZ
2020-09-25,34.15,36.15,33.15,35.95,52.8,16.45,TBZ
2020-09-24,34.45,34.45,32.4,32.9,52.8,16.45,TBZ
2020-09-23,34.8,35.0,33.55,34.75,52.8,16.45,TBZ
2020-09-22,35.35,35.35,33.5,33.95,52.8,16.45,TBZ
2020-09-21,36.0,37.5,35.1,35.35,52.8,16.45,TBZ
2020-09-18,37.8,37.8,36.65,36.75,52.8,16.45,TBZ
2020-09-17,37.45,37.8,37.1,37.3,52.8,16.45,TBZ
2020-09-16,37.8,37.8,37.0,37.1,52.8,16.45,TBZ
2020-09-15,37.9,38.8,37.05,37.4,52.8,16.45,TBZ
2020-09-14,38.9,38.9,37.45,37.55,52.8,16.45,TBZ
2020-09-11,35.85,39.5,35.7,37.95,52.8,16.45,TBZ
2020-09-10,37.3,37.3,35.3,35.95,52.8,16.45,TBZ
2020-09-09,36.8,37.35,35.15,35.95,52.8,16.45,TBZ
2020-09-08,38.75,38.75,36.75,36.95,52.8,16.45,TBZ
2020-09-07,37.7,37.85,36.55,36.75,52.8,16.45,TBZ
2020-09-04,38.0,38.5,36.2,37.25,52.8,16.45,TBZ
2020-09-03,37.5,39.2,37.3,38.4,52.8,16.45,TBZ
2020-09-02,37.75,37.95,36.2,37.45,52.8,16.45,TBZ
2020-09-01,37.1,38.5,35.4,37.05,52.8,16.45,TBZ
2020-08-31,41.0,41.0,37.85,38.0,52.8,16.45,TBZ
2020-08-28,39.2,42.7,38.9,42.05,52.8,16.45,TBZ
2020-08-27,37.5,39.45,36.45,38.85,52.8,16.45,TBZ
2020-08-26,35.35,37.7,34.9,37.25,52.8,16.45,TBZ
2020-08-25,34.45,35.95,34.0,34.9,52.8,16.45,TBZ
2020-08-24,35.0,37.8,34.45,34.8,52.8,16.45,TBZ
2020-08-21,34.65,35.0,34.5,34.6,52.8,16.45,TBZ
2020-08-20,34.5,35.0,34.5,34.65,52.8,16.45,TBZ
2020-08-19,35.2,35.35,34.5,34.55,52.8,16.45,TBZ
2020-08-18,34.9,34.9,34.3,34.5,52.8,16.45,TBZ
2020-08-17,35.05,35.05,33.75,34.2,52.8,16.45,TBZ
2020-08-14,35.0,35.0,34.05,34.25,52.8,16.45,TBZ
2020-08-13,33.05,36.0,33.05,35.4,52.8,16.45,TBZ
2020-08-12,36.2,36.5,35.35,35.65,52.8,16.45,TBZ
2020-08-11,35.65,36.0,34.9,35.2,52.8,16.45,TBZ
2020-08-10,37.0,37.3,35.3,35.65,52.8,16.45,TBZ
2020-08-07,34.05,37.0,34.05,36.5,52.8,16.45,TBZ
2020-08-06,33.9,34.4,33.5,33.65,52.8,16.45,TBZ
2020-08-05,33.55,34.25,33.35,33.6,52.8,16.45,TBZ
2020-08-04,34.35,34.4,32.95,33.5,52.8,16.45,TBZ
2020-08-03,33.4,34.8,33.3,33.65,52.8,16.45,TBZ
2020-07-31,33.95,33.95,32.05,33.2,52.8,16.45,TBZ
2020-07-30,34.15,35.0,32.8,33.1,52.8,16.45,TBZ
2020-07-29,35.65,35.75,34.2,34.25,52.8,16.45,TBZ
2020-07-28,34.5,36.35,33.55,35.95,52.8,16.45,TBZ
2020-07-27,35.55,35.95,34.65,34.65,52.8,16.45,TBZ
2020-07-24,39.8,39.8,36.45,36.45,52.8,16.45,TBZ
2020-07-23,35.7,38.35,35.6,38.35,52.8,16.45,TBZ
2020-07-22,31.85,34.9,30.05,34.9,52.8,16.45,TBZ
2020-07-21,29.5,32.3,29.3,31.75,52.8,16.45,TBZ
2020-07-20,29.1,30.0,29.1,29.4,52.8,16.45,TBZ
2020-07-17,29.0,29.8,28.8,29.6,52.8,16.45,TBZ
2020-07-16,28.8,31.4,28.35,29.0,52.8,16.45,TBZ
2020-07-15,29.35,29.65,28.5,28.8,52.8,16.45,TBZ
2020-07-14,29.7,30.4,29.05,29.2,52.8,16.45,TBZ
2020-07-13,31.0,31.0,29.7,30.1,52.8,16.45,TBZ
2020-07-10,31.1,31.15,30.0,30.1,52.8,16.45,TBZ
2020-07-09,31.9,32.0,31.0,31.2,52.8,16.45,TBZ
2020-07-08,29.65,30.4,29.35,29.9,52.8,16.45,TBZ
2020-07-07,29.4,29.65,29.1,29.5,52.8,16.45,TBZ
2020-07-06,29.0,29.95,29.0,29.4,52.8,16.45,TBZ
2020-07-03,29.9,29.9,28.15,28.9,52.8,16.45,TBZ
2020-07-02,29.6,29.9,29.25,29.5,52.8,16.45,TBZ
2020-07-01,30.2,30.2,29.35,29.6,52.8,16.45,TBZ
2020-06-30,30.5,30.5,29.05,29.25,52.8,16.45,TBZ
2020-06-29,30.75,30.75,28.2,29.4,52.8,16.45,TBZ
2020-06-26,31.8,31.9,30.55,30.75,52.8,16.45,TBZ
2020-06-25,31.1,31.25,29.35,29.85,52.8,16.45,TBZ
2020-06-24,31.9,31.9,30.5,30.65,52.8,16.45,TBZ
2020-06-23,31.2,31.2,30.25,30.65,52.8,16.45,TBZ
2020-06-22,30.5,31.3,30.0,30.55,52.8,16.45,TBZ
2020-06-19,30.6,30.75,29.95,30.4,52.8,16.45,TBZ
2020-06-18,29.5,30.6,28.55,29.95,52.8,16.45,TBZ
2020-06-17,30.05,30.4,28.0,29.35,52.8,16.45,TBZ
2020-06-16,31.3,32.5,28.75,30.05,52.8,16.45,TBZ
2020-06-15,32.8,32.8,31.25,31.8,52.8,16.45,TBZ
2020-06-12,25.3,30.35,25.3,30.2,52.8,16.45,TBZ
2020-06-11,29.4,29.8,26.5,27.6,52.8,16.45,TBZ
2020-06-10,30.1,30.55,29.0,29.4,52.8,16.45,TBZ
2020-06-09,32.0,32.7,29.6,30.1,52.8,16.45,TBZ
2020-06-08,33.0,35.0,30.0,31.5,52.8,16.45,TBZ
2020-06-05,29.55,33.0,29.55,32.8,53.9,16.45,TBZ
2020-06-04,27.25,28.6,25.2,27.5,53.9,16.45,TBZ
2020-06-03,25.4,27.8,25.35,26.0,53.9,16.45,TBZ
2020-06-02,24.5,26.95,22.55,25.05,53.9,16.45,TBZ
2020-06-01,21.5,25.4,21.0,24.05,53.9,16.45,TBZ
2020-05-29,20.4,21.4,20.4,21.2,57.2,16.45,TBZ
2020-05-28,20.1,21.8,20.1,20.45,57.2,16.45,TBZ
2020-05-27,20.05,20.45,19.8,20.0,57.2,16.45,TBZ
2020-05-26,20.9,20.9,19.9,20.0,57.2,16.45,TBZ
2020-05-22,20.15,20.6,19.65,19.9,57.2,16.45,TBZ
2020-05-21,20.55,20.85,19.7,20.2,57.2,16.45,TBZ
2020-05-20,20.5,21.15,19.65,20.4,57.2,16.45,TBZ
2020-05-19,20.65,21.5,20.1,20.2,57.2,16.45,TBZ
2020-05-18,21.7,21.7,20.4,20.6,57.2,16.45,TBZ
2020-05-15,21.9,21.9,21.0,21.45,62.2,16.45,TBZ
2020-05-14,21.8,21.9,21.0,21.15,62.2,16.45,TBZ
2020-05-13,21.95,21.95,21.3,21.8,62.2,16.45,TBZ
2020-05-12,21.7,21.7,21.1,21.2,62.2,16.45,TBZ
2020-05-11,21.35,22.2,21.2,21.85,62.2,16.45,TBZ
2020-05-08,21.55,22.15,21.3,21.3,66.45,16.45,TBZ
2020-05-07,21.95,21.95,21.0,21.35,66.45,16.45,TBZ
2020-05-06,22.45,22.45,21.2,21.6,66.45,16.45,TBZ
2020-05-05,22.65,23.65,21.6,21.75,66.45,16.45,TBZ
2020-05-04,22.85,22.85,22.0,22.1,66.45,16.45,TBZ
2020-04-30,23.25,23.65,22.9,23.0,66.45,16.45,TBZ
2020-04-29,23.5,23.5,22.65,23.0,66.45,16.45,TBZ
