DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-08-18,1706.0,1714.55,1691.1,1697.45,1860.0,1111.0,INDIGO
2021-08-17,1685.0,1717.95,1680.0,1705.55,1860.0,1111.0,INDIGO
2021-08-16,1677.0,1704.85,1661.4,1692.4,1860.0,1111.0,INDIGO
2021-08-13,1690.0,1720.0,1653.1,1676.6,1860.0,931.2,INDIGO
2021-08-12,1643.0,1678.9,1637.0,1669.3,1860.0,931.2,INDIGO
2021-08-11,1650.0,1656.6,1616.2,1640.85,1860.0,931.2,INDIGO
2021-08-10,1652.0,1676.0,1629.0,1638.75,1860.0,931.2,INDIGO
2021-08-09,1646.5,1676.85,1629.0,1662.8,1860.0,931.2,INDIGO
2021-08-06,1658.75,1661.95,1641.15,1646.5,1860.0,928.0,INDIGO
2021-08-05,1669.95,1669.95,1640.0,1648.95,1860.0,928.0,INDIGO
2021-08-04,1679.4,1694.7,1656.45,1662.55,1860.0,928.0,INDIGO
2021-08-03,1669.5,1692.0,1639.0,1678.75,1860.0,928.0,INDIGO
2021-08-02,1657.0,1674.9,1650.0,1663.15,1860.0,928.0,INDIGO
2021-07-30,1666.0,1674.5,1637.05,1647.35,1860.0,875.25,INDIGO
2021-07-29,1675.0,1678.2,1640.3,1653.2,1860.0,875.25,INDIGO
2021-07-28,1681.0,1699.75,1626.45,1667.45,1860.0,875.25,INDIGO
2021-07-27,1731.05,1749.7,1691.85,1704.85,1860.0,875.25,INDIGO
2021-07-26,1727.0,1763.95,1721.0,1740.3,1860.0,875.25,INDIGO
2021-07-23,1694.15,1750.9,1680.0,1727.1,1860.0,875.25,INDIGO
2021-07-22,1697.0,1697.0,1657.0,1694.15,1860.0,875.25,INDIGO
2021-07-20,1761.0,1765.9,1670.0,1673.95,1860.0,875.25,INDIGO
2021-07-19,1800.0,1800.0,1760.15,1765.9,1860.0,875.25,INDIGO
2021-07-16,1822.0,1822.0,1802.0,1809.05,1860.0,875.25,INDIGO
2021-07-15,1822.55,1860.0,1816.0,1824.65,1860.0,875.25,INDIGO
2021-07-14,1823.0,1828.6,1810.1,1822.55,1859.6,875.25,INDIGO
2021-07-13,1820.0,1829.0,1802.0,1824.45,1859.6,875.25,INDIGO
2021-07-12,1829.9,1829.9,1800.3,1812.5,1859.6,875.25,INDIGO
2021-07-09,1821.8,1838.0,1802.1,1809.3,1859.6,875.25,INDIGO
2021-07-08,1820.0,1843.3,1805.5,1821.95,1859.6,875.25,INDIGO
2021-07-07,1769.0,1813.65,1769.0,1809.5,1859.6,875.25,INDIGO
2021-07-06,1780.0,1810.0,1759.0,1768.65,1859.6,875.25,INDIGO
2021-07-05,1729.0,1760.0,1720.0,1755.95,1859.6,875.25,INDIGO
2021-07-02,1742.6,1742.6,1708.15,1719.95,1859.6,875.25,INDIGO
2021-07-01,1717.0,1747.0,1717.0,1742.6,1859.6,875.25,INDIGO
2021-06-30,1731.45,1745.0,1709.1,1716.95,1859.6,875.25,INDIGO
2021-06-29,1731.85,1752.95,1722.0,1729.25,1859.6,875.25,INDIGO
2021-06-28,1734.0,1747.45,1720.05,1729.6,1859.6,875.25,INDIGO
2021-06-25,1695.0,1732.45,1692.0,1728.2,1859.6,875.25,INDIGO
2021-06-24,1724.0,1733.45,1684.05,1690.15,1859.6,875.25,INDIGO
2021-06-23,1723.0,1743.6,1702.1,1708.85,1859.6,875.25,INDIGO
2021-06-22,1720.0,1737.95,1707.5,1717.45,1859.6,875.25,INDIGO
2021-06-21,1690.0,1725.0,1676.05,1719.0,1859.6,875.25,INDIGO
2021-06-18,1708.0,1716.25,1665.1,1702.7,1859.6,875.25,INDIGO
2021-06-17,1701.1,1738.3,1695.7,1707.5,1859.6,875.25,INDIGO
2021-06-16,1780.0,1783.45,1728.0,1733.7,1859.6,875.25,INDIGO
2021-06-15,1778.0,1799.0,1778.0,1789.7,1859.6,875.25,INDIGO
2021-06-14,1800.0,1801.1,1765.45,1776.4,1859.6,875.25,INDIGO
2021-06-11,1805.0,1811.1,1778.05,1791.65,1859.6,875.25,INDIGO
2021-06-10,1801.0,1812.85,1771.5,1787.45,1859.6,875.25,INDIGO
2021-06-09,1786.05,1859.6,1781.0,1793.05,1859.6,875.25,INDIGO
2021-06-08,1769.5,1795.0,1759.3,1784.3,1850.05,875.25,INDIGO
2021-06-07,1754.45,1850.05,1742.75,1755.45,1850.05,875.25,INDIGO
2021-06-04,1770.0,1780.0,1747.8,1754.45,1831.15,875.25,INDIGO
2021-06-03,1772.1,1784.65,1749.9,1764.6,1831.15,875.25,INDIGO
2021-06-02,1735.0,1774.85,1728.45,1764.65,1831.15,875.25,INDIGO
2021-06-01,1761.5,1777.95,1738.0,1745.7,1831.15,875.25,INDIGO
2021-05-31,1792.0,1831.15,1732.0,1758.9,1831.15,875.25,INDIGO
2021-05-28,1745.55,1794.9,1720.05,1776.1,1823.85,875.25,INDIGO
2021-05-27,1724.8,1747.9,1704.4,1740.7,1823.85,875.25,INDIGO
2021-05-26,1735.0,1748.7,1710.0,1724.15,1823.85,875.25,INDIGO
2021-05-25,1695.7,1736.3,1672.25,1719.1,1823.85,875.25,INDIGO
2021-05-24,1697.5,1708.8,1674.0,1683.1,1823.85,875.25,INDIGO
2021-05-21,1661.0,1704.05,1661.0,1692.5,1823.85,850.0,INDIGO
2021-05-20,1683.0,1694.4,1657.0,1669.6,1823.85,850.0,INDIGO
2021-05-19,1724.9,1725.0,1679.05,1689.6,1823.85,850.0,INDIGO
2021-05-18,1710.0,1724.85,1692.7,1714.7,1823.85,850.0,INDIGO
2021-05-17,1694.0,1709.05,1670.0,1703.75,1823.85,850.0,INDIGO
2021-05-14,1695.0,1715.0,1680.0,1694.75,1823.85,850.0,INDIGO
2021-05-12,1679.9,1694.1,1658.5,1680.9,1823.85,850.0,INDIGO
2021-05-11,1670.0,1712.6,1664.65,1674.95,1823.85,850.0,INDIGO
2021-05-10,1646.0,1685.0,1643.05,1677.7,1823.85,850.0,INDIGO
2021-05-07,1673.0,1681.95,1625.3,1640.6,1823.85,850.0,INDIGO
2021-05-06,1637.8,1683.0,1637.8,1662.95,1823.85,850.0,INDIGO
2021-05-05,1633.0,1664.0,1596.6,1649.35,1823.85,850.0,INDIGO
2021-05-04,1685.0,1685.0,1615.7,1621.95,1823.85,850.0,INDIGO
2021-05-03,1620.0,1674.8,1612.2,1666.25,1823.85,850.0,INDIGO
2021-04-30,1632.0,1679.8,1632.0,1643.4,1823.85,850.0,INDIGO
2021-04-29,1649.9,1664.0,1638.2,1655.85,1823.85,850.0,INDIGO
2021-04-28,1640.1,1656.4,1633.1,1647.55,1823.85,850.0,INDIGO
2021-04-27,1576.0,1650.0,1565.0,1640.5,1823.85,850.0,INDIGO
2021-04-26,1545.0,1585.0,1545.0,1573.05,1823.85,850.0,INDIGO
2021-04-23,1549.3,1549.3,1505.25,1541.85,1823.85,850.0,INDIGO
2021-04-22,1520.0,1565.0,1520.0,1541.3,1823.85,850.0,INDIGO
2021-04-20,1520.9,1585.85,1503.0,1554.3,1823.85,850.0,INDIGO
2021-04-19,1535.0,1558.0,1516.55,1527.9,1823.85,850.0,INDIGO
2021-04-16,1604.0,1616.45,1576.4,1582.9,1823.85,850.0,INDIGO
2021-04-15,1575.0,1619.95,1565.6,1609.85,1823.85,850.0,INDIGO
2021-04-13,1594.0,1639.6,1593.8,1605.75,1823.85,850.0,INDIGO
2021-04-12,1609.95,1612.95,1529.2,1593.8,1823.85,850.0,INDIGO
2021-04-09,1621.55,1663.7,1608.0,1646.95,1823.85,850.0,INDIGO
2021-04-08,1596.7,1648.95,1595.65,1640.75,1823.85,850.0,INDIGO
2021-04-07,1590.0,1612.0,1581.6,1599.65,1823.85,850.0,INDIGO
2021-04-06,1564.0,1590.8,1546.55,1577.6,1823.85,850.0,INDIGO
2021-04-05,1601.0,1609.9,1525.0,1552.7,1823.85,850.0,INDIGO
2021-04-01,1631.9,1640.0,1601.4,1616.6,1823.85,850.0,INDIGO
2021-03-31,1585.0,1655.0,1579.8,1631.95,1823.85,850.0,INDIGO
2021-03-30,1602.0,1629.7,1575.2,1585.4,1823.85,850.0,INDIGO
2021-03-26,1654.0,1676.35,1600.0,1613.0,1823.85,771.3,INDIGO
2021-03-25,1727.0,1742.0,1650.0,1663.55,1823.85,771.3,INDIGO
2021-03-24,1744.0,1768.9,1725.8,1734.25,1823.85,771.3,INDIGO
2021-03-23,1700.0,1782.0,1700.0,1773.45,1823.85,771.3,INDIGO
2021-03-22,1663.6,1727.85,1626.25,1713.85,1823.85,771.3,INDIGO
2021-03-19,1712.0,1730.0,1651.0,1663.6,1823.85,771.3,INDIGO
2021-03-18,1680.0,1730.0,1680.0,1719.95,1823.85,771.3,INDIGO
2021-03-17,1682.0,1718.0,1671.05,1695.55,1823.85,771.3,INDIGO
2021-03-16,1646.0,1701.4,1635.1,1682.1,1823.85,771.3,INDIGO
2021-03-15,1668.0,1686.0,1630.1,1661.95,1823.85,771.3,INDIGO
2021-03-12,1687.9,1705.0,1657.35,1663.95,1823.85,771.3,INDIGO
2021-03-10,1700.0,1707.7,1678.05,1684.55,1823.85,771.3,INDIGO
2021-03-09,1707.9,1727.45,1659.0,1688.7,1823.85,771.3,INDIGO
2021-03-08,1744.7,1744.7,1696.15,1707.9,1823.85,771.3,INDIGO
2021-03-05,1770.0,1787.65,1733.0,1742.0,1823.85,771.3,INDIGO
2021-03-04,1751.0,1819.45,1736.5,1798.9,1823.85,771.3,INDIGO
2021-03-03,1704.0,1823.85,1700.25,1782.6,1823.85,771.3,INDIGO
2021-03-02,1675.0,1698.9,1667.0,1691.4,1787.0,771.3,INDIGO
2021-03-01,1621.0,1685.0,1620.05,1674.7,1787.0,771.3,INDIGO
2021-02-26,1638.0,1654.55,1606.3,1619.95,1787.0,771.3,INDIGO
2021-02-25,1621.55,1669.95,1619.55,1660.2,1787.0,771.3,INDIGO
2021-02-24,1531.0,1635.0,1531.0,1621.0,1787.0,771.3,INDIGO
2021-02-23,1511.0,1541.2,1506.05,1530.45,1787.0,771.3,INDIGO
2021-02-22,1565.05,1565.8,1502.3,1512.25,1787.0,771.3,INDIGO
2021-02-19,1595.0,1608.45,1545.05,1565.8,1787.0,771.3,INDIGO
2021-02-18,1613.0,1621.95,1578.6,1592.4,1787.0,771.3,INDIGO
2021-02-17,1609.45,1628.85,1577.2,1610.05,1787.0,771.3,INDIGO
2021-02-16,1646.55,1646.55,1596.15,1610.45,1787.0,771.3,INDIGO
2021-02-15,1649.0,1657.5,1632.5,1642.55,1787.0,771.3,INDIGO
2021-02-12,1695.0,1701.1,1616.0,1643.15,1787.0,771.3,INDIGO
2021-02-11,1630.0,1648.95,1604.05,1630.35,1787.0,771.3,INDIGO
2021-02-10,1681.9,1691.15,1615.0,1623.65,1787.0,771.3,INDIGO
2021-02-09,1700.0,1708.0,1652.7,1662.05,1787.0,771.3,INDIGO
2021-02-08,1682.0,1743.9,1680.85,1695.95,1787.0,771.3,INDIGO
2021-02-05,1692.85,1732.4,1667.5,1680.85,1787.0,771.3,INDIGO
2021-02-04,1615.0,1680.0,1605.55,1672.35,1787.0,771.3,INDIGO
2021-02-03,1645.9,1663.85,1618.05,1621.7,1787.0,771.3,INDIGO
2021-02-02,1653.65,1671.55,1597.2,1630.0,1787.0,771.3,INDIGO
2021-02-01,1561.0,1660.0,1557.25,1640.0,1787.0,771.3,INDIGO
2021-01-29,1560.0,1644.2,1534.0,1547.75,1787.0,771.3,INDIGO
2021-01-28,1589.0,1624.4,1560.0,1592.8,1787.0,771.3,INDIGO
2021-01-27,1595.0,1627.45,1574.65,1590.15,1787.0,771.3,INDIGO
2021-01-25,1658.2,1664.4,1577.55,1587.55,1787.0,771.3,INDIGO
2021-01-22,1684.4,1684.4,1634.05,1642.3,1787.0,771.3,INDIGO
2021-01-21,1680.0,1726.0,1665.45,1677.55,1787.0,771.3,INDIGO
2021-01-20,1663.85,1674.75,1642.25,1666.4,1787.0,771.3,INDIGO
2021-01-19,1596.0,1675.0,1596.0,1664.75,1787.0,771.3,INDIGO
2021-01-18,1627.0,1627.0,1570.6,1594.05,1787.0,771.3,INDIGO
2021-01-15,1660.0,1664.4,1620.9,1631.05,1787.0,771.3,INDIGO
2021-01-14,1640.0,1667.95,1622.45,1658.6,1787.0,771.3,INDIGO
2021-01-13,1695.0,1695.0,1621.1,1633.8,1787.0,771.3,INDIGO
2021-01-12,1702.0,1727.0,1676.55,1680.0,1787.0,771.3,INDIGO
2021-01-11,1742.75,1751.0,1693.0,1702.65,1787.0,771.3,INDIGO
2021-01-08,1770.0,1774.9,1723.0,1732.3,1787.0,771.3,INDIGO
2021-01-07,1739.0,1779.0,1731.5,1761.05,1787.0,771.3,INDIGO
2021-01-06,1731.45,1743.0,1708.85,1732.5,1787.0,771.3,INDIGO
2021-01-05,1732.0,1733.95,1702.5,1714.75,1787.0,771.3,INDIGO
2021-01-04,1722.0,1751.0,1718.15,1744.95,1787.0,771.3,INDIGO
2021-01-01,1719.0,1723.85,1692.95,1713.5,1787.0,771.3,INDIGO
2020-12-31,1680.0,1738.9,1673.9,1723.3,1787.0,771.3,INDIGO
2020-12-30,1695.0,1700.45,1677.25,1689.7,1787.0,771.3,INDIGO
2020-12-29,1690.0,1714.0,1669.5,1692.2,1787.0,771.3,INDIGO
2020-12-28,1655.0,1714.35,1655.0,1687.9,1787.0,771.3,INDIGO
2020-12-24,1650.0,1673.0,1615.15,1643.8,1787.0,771.3,INDIGO
2020-12-23,1566.0,1658.9,1547.25,1649.25,1787.0,771.3,INDIGO
2020-12-22,1425.0,1596.95,1425.0,1570.95,1787.0,771.3,INDIGO
2020-12-21,1637.0,1637.0,1487.25,1507.0,1787.0,771.3,INDIGO
2020-12-18,1637.0,1684.55,1626.8,1651.05,1787.0,771.3,INDIGO
2020-12-17,1654.0,1654.0,1625.45,1642.55,1787.0,771.3,INDIGO
2020-12-16,1678.4,1683.75,1637.05,1655.85,1787.0,771.3,INDIGO
2020-12-15,1709.0,1709.0,1650.8,1659.8,1787.0,771.3,INDIGO
2020-12-14,1728.0,1732.5,1697.5,1715.1,1787.0,771.3,INDIGO
2020-12-11,1742.0,1748.95,1699.2,1729.9,1787.0,771.3,INDIGO
2020-12-10,1740.2,1750.0,1722.0,1736.35,1787.0,771.3,INDIGO
2020-12-09,1749.0,1768.6,1725.1,1731.65,1787.0,771.3,INDIGO
2020-12-08,1753.7,1787.0,1736.6,1747.65,1787.0,771.3,INDIGO
2020-12-07,1744.0,1768.0,1720.0,1740.3,1768.0,771.3,INDIGO
2020-12-04,1658.0,1752.0,1647.5,1744.8,1752.0,771.3,INDIGO
2020-12-03,1606.0,1653.2,1606.0,1644.05,1743.85,771.3,INDIGO
2020-12-02,1574.25,1605.4,1548.4,1593.1,1743.85,771.3,INDIGO
2020-12-01,1530.0,1571.45,1515.5,1559.75,1743.85,771.3,INDIGO
2020-11-27,1550.0,1562.25,1504.85,1514.15,1743.85,771.3,INDIGO
2020-11-26,1569.0,1575.0,1522.0,1544.35,1743.85,771.3,INDIGO
2020-11-25,1655.5,1661.85,1582.45,1590.65,1743.85,771.3,INDIGO
2020-11-24,1649.8,1682.5,1642.1,1656.3,1743.85,771.3,INDIGO
2020-11-23,1680.25,1698.7,1646.1,1669.55,1743.85,771.3,INDIGO
2020-11-20,1673.05,1743.85,1643.0,1679.7,1743.85,771.3,INDIGO
2020-11-19,1697.4,1734.9,1676.15,1687.95,1734.9,771.3,INDIGO
2020-11-18,1640.2,1712.0,1625.0,1702.0,1712.0,771.3,INDIGO
2020-11-17,1620.4,1670.0,1585.75,1643.7,1670.0,771.3,INDIGO
2020-11-14,1635.0,1635.0,1602.3,1614.95,1650.0,771.3,INDIGO
2020-11-13,1608.0,1639.9,1605.0,1616.4,1650.0,771.3,INDIGO
2020-11-12,1621.0,1650.0,1606.5,1631.05,1650.0,771.3,INDIGO
2020-11-11,1612.05,1632.0,1595.6,1619.5,1639.7,771.3,INDIGO
2020-11-10,1600.0,1639.7,1550.0,1627.55,1639.7,771.3,INDIGO
2020-11-09,1432.0,1497.5,1432.0,1491.05,1541.0,771.3,INDIGO
2020-11-06,1427.0,1441.0,1402.05,1423.15,1541.75,771.3,INDIGO
2020-11-05,1341.0,1427.55,1326.05,1417.55,1541.75,771.3,INDIGO
2020-11-04,1356.85,1372.2,1323.55,1341.45,1541.75,771.3,INDIGO
2020-11-03,1313.0,1387.9,1292.65,1370.25,1541.75,771.3,INDIGO
2020-11-02,1315.0,1326.6,1285.0,1311.2,1541.75,771.3,INDIGO
2020-10-30,1321.05,1347.25,1295.0,1309.5,1541.75,771.3,INDIGO
2020-10-29,1255.3,1340.35,1253.7,1330.9,1541.75,771.3,INDIGO
2020-10-28,1322.0,1335.0,1288.05,1293.7,1541.75,771.3,INDIGO
2020-10-27,1347.0,1360.85,1294.1,1326.7,1541.75,771.3,INDIGO
2020-10-26,1370.0,1387.0,1344.4,1351.95,1541.75,771.3,INDIGO
2020-10-23,1365.9,1391.25,1359.45,1372.45,1719.0,771.3,INDIGO
2020-10-22,1365.4,1376.35,1346.55,1356.25,1719.0,771.3,INDIGO
2020-10-21,1375.0,1391.0,1349.0,1365.4,1719.0,771.3,INDIGO
2020-10-20,1350.0,1379.95,1345.55,1373.35,1719.0,771.3,INDIGO
2020-10-19,1336.25,1376.6,1331.1,1366.3,1719.0,771.3,INDIGO
2020-10-16,1315.1,1340.0,1309.0,1329.65,1772.9,771.3,INDIGO
2020-10-15,1342.7,1365.0,1298.0,1305.45,1772.9,771.3,INDIGO
2020-10-14,1359.95,1378.0,1322.25,1342.6,1772.9,771.3,INDIGO
2020-10-13,1383.95,1396.0,1356.4,1365.35,1772.9,771.3,INDIGO
2020-10-12,1370.0,1389.75,1355.2,1380.3,1772.9,771.3,INDIGO
2020-10-09,1339.8,1394.45,1323.8,1367.2,1821.0,771.3,INDIGO
2020-10-08,1341.3,1356.85,1315.5,1330.85,1821.0,771.3,INDIGO
2020-10-07,1333.0,1344.95,1307.0,1337.75,1821.0,771.3,INDIGO
2020-10-06,1308.0,1344.9,1300.0,1330.55,1821.0,771.3,INDIGO
2020-10-05,1271.3,1329.0,1265.3,1297.4,1821.0,771.3,INDIGO
2020-10-01,1251.0,1283.5,1251.0,1269.4,1898.85,771.3,INDIGO
2020-09-30,1238.8,1260.95,1220.15,1249.1,1898.85,771.3,INDIGO
2020-09-29,1288.95,1288.95,1224.05,1238.8,1898.85,771.3,INDIGO
2020-09-28,1255.55,1284.0,1241.0,1275.4,1898.85,771.3,INDIGO
2020-09-25,1217.95,1251.0,1196.55,1241.7,1898.85,771.3,INDIGO
2020-09-24,1259.95,1264.2,1180.85,1197.3,1898.85,771.3,INDIGO
2020-09-23,1235.8,1298.45,1235.8,1282.7,1898.85,771.3,INDIGO
2020-09-22,1285.15,1286.0,1208.1,1234.6,1898.85,771.3,INDIGO
2020-09-21,1321.7,1350.8,1286.6,1297.85,1898.85,771.3,INDIGO
2020-09-18,1330.0,1334.9,1303.05,1315.2,1898.85,771.3,INDIGO
2020-09-17,1317.0,1338.0,1310.05,1326.2,1898.85,771.3,INDIGO
2020-09-16,1351.9,1353.05,1313.0,1318.75,1898.85,771.3,INDIGO
2020-09-15,1330.0,1355.0,1320.8,1343.55,1898.85,771.3,INDIGO
2020-09-14,1300.0,1328.35,1290.0,1321.15,1898.85,771.3,INDIGO
2020-09-11,1265.0,1301.0,1238.0,1294.45,1898.85,771.3,INDIGO
2020-09-10,1259.9,1284.85,1250.0,1257.95,1898.85,771.3,INDIGO
2020-09-09,1251.65,1255.9,1208.2,1248.5,1898.85,771.3,INDIGO
2020-09-08,1242.25,1302.5,1241.0,1251.65,1898.85,771.3,INDIGO
2020-09-07,1250.0,1267.75,1224.0,1229.35,1898.85,771.3,INDIGO
2020-09-04,1249.7,1311.15,1240.1,1257.15,1898.85,771.3,INDIGO
2020-09-03,1270.0,1306.0,1254.3,1282.3,1898.85,771.3,INDIGO
2020-09-02,1203.0,1272.0,1202.45,1247.3,1898.85,771.3,INDIGO
2020-09-01,1205.3,1236.85,1190.45,1202.45,1898.85,771.3,INDIGO
2020-08-31,1208.0,1253.0,1171.05,1199.15,1898.85,771.3,INDIGO
2020-08-28,1196.75,1207.5,1176.6,1183.8,1898.85,771.3,INDIGO
2020-08-27,1180.0,1190.4,1169.4,1185.7,1898.85,771.3,INDIGO
2020-08-26,1190.0,1190.0,1166.2,1175.4,1898.85,771.3,INDIGO
2020-08-25,1171.0,1205.6,1161.0,1166.2,1898.85,771.3,INDIGO
2020-08-24,1184.0,1192.95,1146.3,1157.65,1898.85,771.3,INDIGO
2020-08-21,1219.05,1222.55,1164.75,1173.45,1898.85,771.3,INDIGO
2020-08-20,1199.0,1228.0,1188.0,1199.95,1898.85,771.3,INDIGO
2020-08-19,1210.0,1231.9,1190.9,1215.25,1898.85,771.3,INDIGO
2020-08-18,1139.0,1219.8,1129.0,1196.6,1898.85,771.3,INDIGO
2020-08-17,1139.0,1156.4,1111.0,1147.6,1898.85,771.3,INDIGO
2020-08-14,1175.0,1210.0,1112.25,1139.15,1898.85,771.3,INDIGO
2020-08-13,1035.0,1179.0,1035.0,1161.0,1898.85,771.3,INDIGO
2020-08-12,945.0,1056.0,936.2,1034.55,1898.85,771.3,INDIGO
2020-08-11,965.0,965.25,936.6,939.65,1898.85,771.3,INDIGO
2020-08-10,949.95,957.0,931.2,953.2,1898.85,771.3,INDIGO
2020-08-07,947.3,947.3,928.0,939.25,1898.85,771.3,INDIGO
2020-08-06,980.0,980.0,941.65,945.25,1898.85,771.3,INDIGO
2020-08-05,989.0,995.0,962.0,969.45,1898.85,771.3,INDIGO
2020-08-04,960.0,988.0,956.6,984.0,1898.85,771.3,INDIGO
2020-08-03,975.05,985.8,951.0,953.8,1898.85,771.3,INDIGO
2020-07-31,941.75,989.65,931.0,979.85,1898.85,771.3,INDIGO
2020-07-30,876.0,945.7,875.25,938.5,1898.85,771.3,INDIGO
2020-07-29,909.0,923.7,890.0,909.75,1898.85,771.3,INDIGO
2020-07-28,896.0,919.7,886.75,914.3,1898.85,771.3,INDIGO
2020-07-27,946.45,946.45,898.4,902.4,1898.85,771.3,INDIGO
2020-07-24,960.05,966.5,940.0,948.25,1898.85,771.3,INDIGO
2020-07-23,969.9,982.0,961.1,963.85,1898.85,771.3,INDIGO
2020-07-22,964.0,973.8,946.0,965.65,1898.85,771.3,INDIGO
2020-07-21,974.0,987.3,960.35,964.15,1898.85,771.3,INDIGO
2020-07-20,997.0,1000.0,960.55,971.45,1898.85,771.3,INDIGO
2020-07-17,992.5,1009.4,985.55,991.25,1898.85,771.3,INDIGO
2020-07-16,960.45,1002.0,950.0,989.6,1898.85,771.3,INDIGO
2020-07-15,962.0,978.75,949.25,952.25,1898.85,771.3,INDIGO
2020-07-14,995.0,999.0,941.25,955.3,1898.85,771.3,INDIGO
2020-07-13,1020.0,1029.7,1008.1,1014.85,1898.85,771.3,INDIGO
2020-07-10,1010.0,1028.45,1001.7,1016.75,1898.85,771.3,INDIGO
2020-07-09,1041.0,1075.35,1012.85,1020.05,1898.85,771.3,INDIGO
2020-07-08,1032.0,1063.85,1027.2,1040.75,1898.85,771.3,INDIGO
2020-07-07,1024.0,1042.55,1019.3,1034.35,1898.85,771.3,INDIGO
2020-07-06,1010.0,1033.65,1001.8,1026.75,1898.85,771.3,INDIGO
2020-07-03,1011.85,1018.0,1001.25,1012.15,1898.85,771.3,INDIGO
