DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-09-02,3939.85,3940.0,3877.05,3901.55,4350.0,1700.0,GLAND
2021-09-01,3900.0,3942.0,3863.25,3900.7,4350.0,1700.0,GLAND
2021-08-31,3903.85,3950.0,3880.0,3893.9,4350.0,1700.0,GLAND
2021-08-30,3870.0,3913.0,3870.0,3880.95,4350.0,1700.0,GLAND
2021-08-27,3920.0,3945.0,3870.1,3930.25,4350.0,1700.0,GLAND
2021-08-26,3858.6,3920.35,3841.0,3876.45,4350.0,1700.0,GLAND
2021-08-25,3830.0,3883.45,3811.0,3846.2,4350.0,1700.0,GLAND
2021-08-24,3870.0,3919.35,3762.0,3813.3,4350.0,1700.0,GLAND
2021-08-23,4088.0,4088.0,3800.0,3871.25,4350.0,1700.0,GLAND
2021-08-20,4055.0,4057.3,3930.0,3959.1,4350.0,1700.0,GLAND
2021-08-18,4150.0,4160.0,4060.0,4071.35,4350.0,1700.0,GLAND
2021-08-17,4119.0,4194.0,4050.0,4113.3,4350.0,1700.0,GLAND
2021-08-16,4252.0,4300.0,4096.0,4117.05,4350.0,1700.0,GLAND
2021-08-13,4302.0,4330.0,4233.35,4287.2,4350.0,1700.0,GLAND
2021-08-12,4154.9,4350.0,4092.15,4316.25,4350.0,1700.0,GLAND
2021-08-11,4268.0,4268.0,4120.0,4150.15,4268.0,1700.0,GLAND
2021-08-10,4041.0,4244.8,4040.95,4200.35,4244.8,1700.0,GLAND
2021-08-09,4009.0,4063.0,3997.3,4047.55,4172.0,1700.0,GLAND
2021-08-06,4063.0,4069.0,3962.0,3990.25,4172.0,1700.0,GLAND
2021-08-05,3938.95,4092.0,3899.85,4052.6,4172.0,1700.0,GLAND
2021-08-04,3978.0,4010.0,3915.4,3943.45,4172.0,1700.0,GLAND
2021-08-03,3950.0,3989.1,3922.15,3952.2,4172.0,1700.0,GLAND
2021-08-02,3958.9,4011.0,3880.0,3948.8,4172.0,1700.0,GLAND
2021-07-30,4022.0,4050.0,3800.25,3930.45,4172.0,1700.0,GLAND
2021-07-29,3915.0,4070.0,3876.0,3999.3,4172.0,1700.0,GLAND
2021-07-28,3920.0,3938.85,3778.0,3910.05,4172.0,1700.0,GLAND
2021-07-27,4070.0,4078.0,3834.05,3864.9,4172.0,1700.0,GLAND
2021-07-26,4012.0,4080.0,3963.25,4019.25,4172.0,1700.0,GLAND
2021-07-23,4150.0,4172.0,3941.9,4016.85,4172.0,1700.0,GLAND
2021-07-22,3960.0,4168.0,3862.25,4146.7,4168.0,1700.0,GLAND
2021-07-20,3899.75,3899.75,3761.95,3794.85,3999.9,1700.0,GLAND
2021-07-19,3877.0,3956.0,3835.0,3858.6,3999.9,1700.0,GLAND
2021-07-16,3790.0,3999.9,3775.1,3956.8,3999.9,1700.0,GLAND
2021-07-15,3880.0,3908.0,3721.05,3742.6,3908.0,1700.0,GLAND
2021-07-14,3689.0,3869.0,3651.0,3830.85,3869.0,1700.0,GLAND
2021-07-13,3600.0,3704.95,3600.0,3683.8,3704.95,1700.0,GLAND
2021-07-12,3668.2,3690.0,3562.0,3599.3,3690.0,1700.0,GLAND
2021-07-09,3557.5,3678.05,3550.0,3635.45,3678.05,1700.0,GLAND
2021-07-08,3505.0,3598.1,3481.5,3539.85,3598.1,1700.0,GLAND
2021-07-07,3424.9,3560.0,3412.45,3500.2,3560.0,1700.0,GLAND
2021-07-06,3509.0,3536.0,3375.5,3402.0,3555.0,1700.0,GLAND
2021-07-05,3494.7,3548.0,3440.05,3488.5,3555.0,1700.0,GLAND
2021-07-02,3389.9,3489.8,3340.0,3462.6,3555.0,1700.0,GLAND
2021-07-01,3433.0,3433.0,3350.55,3367.15,3555.0,1700.0,GLAND
2021-06-30,3430.0,3555.0,3401.35,3424.3,3555.0,1700.0,GLAND
2021-06-29,3252.5,3477.0,3225.0,3398.1,3514.85,1700.0,GLAND
2021-06-28,3204.7,3277.0,3171.25,3252.5,3514.85,1700.0,GLAND
2021-06-25,3150.0,3220.0,3121.55,3190.35,3514.85,1700.0,GLAND
2021-06-24,3180.0,3184.75,3126.7,3153.9,3514.85,1700.0,GLAND
2021-06-23,3189.0,3219.8,3150.1,3183.55,3514.85,1700.0,GLAND
2021-06-22,3089.0,3200.0,3066.2,3183.15,3514.85,1700.0,GLAND
2021-06-21,3050.0,3087.0,3013.55,3068.8,3514.85,1700.0,GLAND
2021-06-18,3113.0,3168.8,3021.9,3073.55,3514.85,1700.0,GLAND
2021-06-17,3149.95,3238.35,3075.0,3099.05,3514.85,1700.0,GLAND
2021-06-16,3150.0,3164.6,3124.0,3141.8,3514.85,1700.0,GLAND
2021-06-15,3150.0,3161.9,3131.4,3146.45,3514.85,1700.0,GLAND
2021-06-14,3147.95,3189.75,3113.3,3159.2,3514.85,1700.0,GLAND
2021-06-11,3164.9,3164.9,3113.3,3147.95,3514.85,1700.0,GLAND
2021-06-10,3117.15,3165.0,3094.7,3154.25,3514.85,1700.0,GLAND
2021-06-09,3147.0,3163.0,3091.35,3105.1,3514.85,1700.0,GLAND
2021-06-08,3119.95,3183.1,3080.2,3126.5,3514.85,1700.0,GLAND
2021-06-07,3132.0,3190.0,3113.0,3118.6,3514.85,1700.0,GLAND
2021-06-04,3196.5,3196.5,3112.85,3134.15,3514.85,1700.0,GLAND
2021-06-03,3188.55,3201.45,3169.0,3180.55,3514.85,1700.0,GLAND
2021-06-02,3079.75,3173.75,3078.0,3160.1,3514.85,1700.0,GLAND
2021-06-01,3155.0,3198.15,3031.0,3080.25,3514.85,1700.0,GLAND
2021-05-31,3200.0,3211.75,3136.0,3153.85,3514.85,1700.0,GLAND
2021-05-28,3288.0,3298.8,3150.0,3224.35,3514.85,1700.0,GLAND
2021-05-27,3260.0,3298.7,3191.35,3282.7,3514.85,1700.0,GLAND
2021-05-26,3303.0,3363.0,3240.0,3258.6,3514.85,1700.0,GLAND
2021-05-25,3150.0,3290.0,3115.0,3274.65,3514.85,1700.0,GLAND
2021-05-24,3208.0,3230.0,3102.0,3135.1,3514.85,1700.0,GLAND
2021-05-21,3190.0,3297.0,3146.05,3169.2,3514.85,1700.0,GLAND
2021-05-20,3303.0,3460.9,3132.25,3159.3,3514.85,1700.0,GLAND
2021-05-19,3050.0,3514.85,3013.1,3341.45,3514.85,1700.0,GLAND
2021-05-18,2910.0,3136.45,2860.2,3062.55,3136.45,1700.0,GLAND
2021-05-17,2948.0,2950.0,2770.0,2793.2,2983.0,1700.0,GLAND
2021-05-14,2875.0,2928.0,2750.0,2865.2,2983.0,1700.0,GLAND
2021-05-12,2895.0,2983.0,2833.0,2860.4,2983.0,1700.0,GLAND
2021-05-11,2788.0,2885.0,2757.8,2867.35,2885.0,1700.0,GLAND
2021-05-10,2675.0,2865.9,2641.15,2790.05,2873.0,1700.0,GLAND
2021-05-07,2685.0,2688.0,2640.3,2647.05,2873.0,1700.0,GLAND
2021-05-06,2650.0,2719.45,2616.2,2634.25,2873.0,1700.0,GLAND
2021-05-05,2679.8,2684.55,2595.0,2609.3,2873.0,1700.0,GLAND
2021-05-04,2765.0,2778.0,2632.3,2648.45,2873.0,1700.0,GLAND
2021-05-03,2805.15,2836.0,2720.0,2743.7,2873.0,1700.0,GLAND
2021-04-30,2651.0,2818.3,2629.0,2781.55,2873.0,1700.0,GLAND
2021-04-29,2678.95,2682.85,2645.2,2651.05,2873.0,1700.0,GLAND
2021-04-28,2663.0,2685.0,2605.0,2669.6,2873.0,1700.0,GLAND
2021-04-27,2664.9,2672.85,2637.15,2650.05,2873.0,1700.0,GLAND
2021-04-26,2674.0,2699.0,2645.0,2651.3,2873.0,1700.0,GLAND
2021-04-23,2700.0,2739.95,2642.4,2658.25,2873.0,1700.0,GLAND
2021-04-22,2616.85,2718.95,2607.05,2660.55,2873.0,1700.0,GLAND
2021-04-20,2825.0,2873.0,2620.0,2643.25,2873.0,1700.0,GLAND
2021-04-19,2601.0,2804.0,2560.45,2760.15,2804.0,1700.0,GLAND
2021-04-16,2489.0,2660.0,2464.0,2627.2,2783.85,1700.0,GLAND
2021-04-15,2544.0,2544.0,2473.0,2480.85,2783.85,1700.0,GLAND
2021-04-13,2664.8,2710.0,2521.0,2532.85,2783.85,1700.0,GLAND
2021-04-12,2518.0,2655.0,2446.15,2582.1,2783.85,1700.0,GLAND
2021-04-09,2520.0,2571.0,2495.2,2530.55,2783.85,1700.0,GLAND
2021-04-08,2514.0,2545.4,2498.55,2510.75,2783.85,1700.0,GLAND
2021-04-07,2499.95,2524.9,2485.2,2504.1,2783.85,1700.0,GLAND
2021-04-06,2501.0,2515.0,2470.0,2478.2,2783.85,1700.0,GLAND
2021-04-05,2470.0,2548.6,2400.0,2501.5,2783.85,1700.0,GLAND
2021-04-01,2499.2,2507.8,2441.0,2467.9,2783.85,1700.0,GLAND
2021-03-31,2494.0,2512.0,2451.7,2478.3,2783.85,1700.0,GLAND
2021-03-30,2425.0,2514.9,2425.0,2497.4,2783.85,1700.0,GLAND
2021-03-26,2475.0,2483.45,2405.1,2412.65,2783.85,1700.0,GLAND
2021-03-25,2489.0,2505.25,2365.0,2450.6,2783.85,1700.0,GLAND
2021-03-24,2470.0,2510.0,2460.95,2487.85,2783.85,1700.0,GLAND
2021-03-23,2489.0,2519.4,2480.0,2493.65,2783.85,1700.0,GLAND
2021-03-22,2556.5,2556.5,2473.55,2487.0,2783.85,1700.0,GLAND
2021-03-19,2450.0,2565.0,2416.0,2554.35,2783.85,1700.0,GLAND
2021-03-18,2555.0,2570.85,2430.05,2467.1,2783.85,1700.0,GLAND
2021-03-17,2670.05,2679.2,2512.15,2532.9,2783.85,1700.0,GLAND
2021-03-16,2545.0,2783.85,2532.2,2717.0,2783.85,1700.0,GLAND
2021-03-15,2456.05,2550.0,2414.1,2541.9,2693.0,1700.0,GLAND
2021-03-12,2513.35,2513.35,2461.05,2473.0,2693.0,1700.0,GLAND
2021-03-10,2509.0,2558.8,2475.05,2490.9,2693.0,1700.0,GLAND
2021-03-09,2562.2,2575.0,2500.0,2505.05,2693.0,1700.0,GLAND
2021-03-08,2569.95,2600.0,2550.0,2564.55,2693.0,1700.0,GLAND
2021-03-05,2629.75,2630.0,2515.65,2549.6,2693.0,1700.0,GLAND
2021-03-04,2423.9,2693.0,2405.8,2669.8,2693.0,1700.0,GLAND
2021-03-03,2360.0,2450.0,2356.1,2436.75,2508.55,1700.0,GLAND
2021-03-02,2361.0,2390.9,2308.55,2349.85,2508.55,1700.0,GLAND
2021-03-01,2425.0,2467.7,2350.0,2358.7,2508.55,1700.0,GLAND
2021-02-26,2389.85,2445.0,2360.0,2401.65,2508.55,1700.0,GLAND
2021-02-25,2390.05,2420.0,2341.55,2411.6,2508.55,1700.0,GLAND
2021-02-24,2398.95,2404.95,2325.05,2375.15,2508.55,1700.0,GLAND
2021-02-23,2385.0,2428.9,2351.25,2381.0,2508.55,1700.0,GLAND
2021-02-22,2418.0,2483.95,2350.0,2389.55,2508.55,1700.0,GLAND
2021-02-19,2474.0,2487.95,2375.0,2419.05,2508.55,1700.0,GLAND
2021-02-18,2372.0,2492.0,2300.0,2451.85,2508.55,1700.0,GLAND
2021-02-17,2204.9,2374.8,2201.95,2359.0,2508.55,1700.0,GLAND
2021-02-16,2178.7,2235.2,2157.25,2205.85,2508.55,1700.0,GLAND
2021-02-15,2200.0,2230.0,2161.1,2167.95,2508.55,1700.0,GLAND
2021-02-12,2285.7,2285.7,2179.55,2188.0,2508.55,1700.0,GLAND
2021-02-11,2300.0,2323.75,2262.0,2283.85,2508.55,1700.0,GLAND
2021-02-10,2274.0,2325.0,2253.0,2297.95,2508.55,1700.0,GLAND
2021-02-09,2312.0,2345.2,2252.0,2268.3,2508.55,1700.0,GLAND
2021-02-08,2314.0,2338.35,2258.0,2322.55,2508.55,1700.0,GLAND
2021-02-05,2152.7,2312.0,2127.0,2293.7,2508.55,1700.0,GLAND
2021-02-04,2130.0,2185.9,2080.95,2136.85,2508.55,1700.0,GLAND
2021-02-03,2116.7,2155.0,2103.5,2132.1,2508.55,1700.0,GLAND
2021-02-02,2095.0,2142.95,2080.0,2099.4,2508.55,1700.0,GLAND
2021-02-01,2120.0,2140.0,2071.0,2078.1,2508.55,1700.0,GLAND
2021-01-29,2160.0,2164.3,2101.0,2116.3,2508.55,1700.0,GLAND
2021-01-28,2155.0,2200.0,2122.1,2143.15,2508.55,1700.0,GLAND
2021-01-27,2253.0,2253.95,2166.1,2184.9,2508.55,1700.0,GLAND
2021-01-25,2295.0,2295.0,2191.6,2251.0,2508.55,1700.0,GLAND
2021-01-22,2220.0,2324.0,2184.9,2284.5,2508.55,1700.0,GLAND
2021-01-21,2287.95,2304.7,2197.0,2204.6,2508.55,1700.0,GLAND
2021-01-20,2295.0,2318.7,2257.0,2274.55,2508.55,1700.0,GLAND
2021-01-19,2343.25,2365.0,2251.4,2290.1,2508.55,1700.0,GLAND
2021-01-18,2390.0,2394.0,2320.0,2335.55,2508.55,1700.0,GLAND
2021-01-15,2263.0,2401.95,2260.35,2366.2,2508.55,1700.0,GLAND
2021-01-14,2209.0,2280.0,2205.25,2259.95,2508.55,1700.0,GLAND
2021-01-13,2250.0,2275.0,2175.0,2201.0,2508.55,1700.0,GLAND
2021-01-12,2330.05,2338.6,2240.0,2248.35,2508.55,1700.0,GLAND
2021-01-11,2384.95,2385.0,2310.05,2328.7,2508.55,1700.0,GLAND
2021-01-08,2408.95,2417.4,2350.1,2368.1,2508.55,1700.0,GLAND
2021-01-07,2429.95,2447.0,2390.05,2401.1,2508.55,1700.0,GLAND
2021-01-06,2480.0,2486.95,2400.15,2408.45,2508.55,1700.0,GLAND
2021-01-05,2444.0,2482.4,2422.95,2468.55,2508.55,1700.0,GLAND
2021-01-04,2390.05,2488.4,2375.0,2447.7,2508.55,1700.0,GLAND
2021-01-01,2344.9,2388.0,2344.9,2369.7,2508.55,1700.0,GLAND
2020-12-31,2356.0,2404.0,2326.0,2339.75,2508.55,1700.0,GLAND
2020-12-30,2355.8,2363.7,2296.0,2351.0,2508.55,1700.0,GLAND
2020-12-29,2409.0,2425.0,2335.0,2348.6,2508.55,1700.0,GLAND
2020-12-28,2439.0,2508.55,2380.0,2393.65,2508.55,1700.0,GLAND
2020-12-24,2360.0,2429.0,2339.0,2408.35,2440.0,1700.0,GLAND
2020-12-23,2350.0,2396.8,2330.0,2353.05,2440.0,1700.0,GLAND
2020-12-22,2341.2,2395.0,2240.0,2328.25,2440.0,1700.0,GLAND
2020-12-21,2244.95,2440.0,2152.15,2319.75,2440.0,1700.0,GLAND
2020-12-18,2180.0,2255.0,2164.0,2226.5,2438.85,1700.0,GLAND
2020-12-17,2199.0,2203.95,2115.5,2178.3,2438.85,1700.0,GLAND
2020-12-16,2199.0,2252.2,2190.0,2196.2,2438.85,1700.0,GLAND
2020-12-15,2228.0,2230.0,2178.0,2197.15,2438.85,1700.0,GLAND
2020-12-14,2245.0,2273.0,2221.0,2224.4,2438.85,1700.0,GLAND
2020-12-11,2258.0,2274.6,2227.85,2241.6,2438.85,1700.0,GLAND
2020-12-10,2278.0,2278.45,2205.0,2250.05,2438.85,1700.0,GLAND
2020-12-09,2320.0,2349.95,2275.0,2279.5,2438.85,1700.0,GLAND
2020-12-08,2368.0,2396.85,2292.0,2305.5,2438.85,1700.0,GLAND
2020-12-07,2179.0,2438.85,2164.0,2352.8,2438.85,1700.0,GLAND
2020-12-04,2212.0,2220.0,2169.0,2178.45,2239.0,1700.0,GLAND
2020-12-03,2198.0,2239.0,2174.0,2202.4,2239.0,1700.0,GLAND
2020-12-02,2205.0,2212.9,2141.1,2184.75,2222.0,1700.0,GLAND
2020-12-01,2120.0,2220.0,2110.0,2191.05,2222.0,1700.0,GLAND
2020-11-27,2125.0,2151.0,2092.0,2113.0,2222.0,1700.0,GLAND
2020-11-26,2074.4,2155.9,2070.0,2106.7,2222.0,1700.0,GLAND
2020-11-25,2077.0,2222.0,2036.1,2053.0,2222.0,1700.0,GLAND
2020-11-24,2110.0,2174.8,1960.2,2048.5,2183.45,1700.0,GLAND
2020-11-23,1844.0,2183.45,1840.0,2089.05,2183.45,1700.0,GLAND
2020-11-20,1710.0,1850.0,1700.0,1819.55,1850.0,1700.0,GLAND
