DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-09-17,58.45,58.85,56.25,56.55,79.55,26.75,BHEL
2021-09-16,58.15,59.95,57.55,58.2,79.55,26.75,BHEL
2021-09-15,58.4,58.5,57.5,57.9,79.55,26.75,BHEL
2021-09-14,55.4,58.5,55.2,58.0,79.55,26.75,BHEL
2021-09-13,55.7,55.9,55.0,55.15,79.55,26.75,BHEL
2021-09-09,55.4,56.25,55.2,55.65,79.55,26.75,BHEL
2021-09-08,55.3,56.3,55.05,55.7,79.55,26.75,BHEL
2021-09-07,55.5,56.8,54.0,55.3,79.55,26.75,BHEL
2021-09-06,55.85,56.35,55.05,55.45,79.55,26.75,BHEL
2021-09-03,54.7,56.2,54.0,55.45,79.55,26.75,BHEL
2021-09-02,54.95,55.55,54.35,54.7,79.55,26.75,BHEL
2021-09-01,54.5,55.55,52.6,54.95,79.55,26.75,BHEL
2021-08-31,54.1,54.2,52.15,52.55,79.55,26.75,BHEL
2021-08-30,54.35,55.15,53.35,54.1,79.55,26.75,BHEL
2021-08-27,52.45,54.7,52.3,54.2,79.55,26.75,BHEL
2021-08-26,53.1,53.4,51.8,52.0,79.55,26.75,BHEL
2021-08-25,53.25,53.65,52.65,53.1,79.55,26.75,BHEL
2021-08-24,51.4,53.5,50.85,53.25,79.55,26.75,BHEL
2021-08-23,52.0,52.55,49.95,51.45,79.55,26.75,BHEL
2021-08-20,53.95,54.35,51.15,51.65,79.55,26.75,BHEL
2021-08-18,52.65,55.1,52.05,54.45,79.55,26.75,BHEL
2021-08-17,54.0,54.65,52.6,52.75,79.55,26.75,BHEL
2021-08-16,55.6,55.8,54.0,54.2,79.55,26.75,BHEL
2021-08-13,55.8,56.35,54.85,55.6,79.55,26.75,BHEL
2021-08-12,54.65,56.2,54.5,55.85,79.55,26.75,BHEL
2021-08-11,54.6,55.15,52.9,54.5,79.55,26.75,BHEL
2021-08-10,56.0,57.3,53.6,54.6,79.55,26.75,BHEL
2021-08-09,57.65,57.9,55.6,56.0,79.55,26.75,BHEL
2021-08-06,56.9,58.85,56.6,57.55,79.55,26.75,BHEL
2021-08-05,57.5,57.6,55.0,57.25,79.55,26.75,BHEL
2021-08-04,59.6,60.0,57.75,58.0,79.55,26.75,BHEL
2021-08-03,60.3,60.6,58.9,59.1,79.55,26.75,BHEL
2021-08-02,58.1,61.35,57.15,59.85,79.55,26.75,BHEL
2021-07-30,60.55,62.25,58.8,59.4,79.55,26.75,BHEL
2021-07-29,60.5,61.45,59.35,60.2,79.55,26.75,BHEL
2021-07-28,61.6,61.7,58.8,60.3,79.55,26.75,BHEL
2021-07-27,63.1,63.95,61.25,61.5,79.55,26.75,BHEL
2021-07-26,63.9,64.0,62.5,62.7,79.55,26.75,BHEL
2021-07-23,64.65,65.1,63.65,63.95,79.55,26.75,BHEL
2021-07-22,63.7,64.9,63.7,64.55,79.55,26.75,BHEL
2021-07-20,64.35,64.75,62.4,63.2,79.55,26.75,BHEL
2021-07-19,65.25,65.75,63.8,64.0,79.55,26.75,BHEL
2021-07-16,65.1,67.0,65.05,66.25,79.55,26.75,BHEL
2021-07-15,65.85,66.1,64.8,64.95,79.55,26.75,BHEL
2021-07-14,66.35,67.1,65.55,65.85,79.55,26.75,BHEL
2021-07-13,67.0,67.1,66.25,66.4,79.55,26.75,BHEL
2021-07-12,67.1,68.3,65.8,66.6,79.55,26.75,BHEL
2021-07-09,66.9,67.4,66.05,66.45,79.55,26.75,BHEL
2021-07-08,68.0,69.0,66.35,67.05,79.55,26.75,BHEL
2021-07-07,64.75,68.2,63.9,67.8,79.55,26.75,BHEL
2021-07-06,65.75,66.25,64.25,64.45,79.55,26.75,BHEL
2021-07-05,66.2,66.55,65.65,65.95,79.55,26.75,BHEL
2021-07-02,64.5,66.45,64.4,65.85,79.55,26.75,BHEL
2021-07-01,65.85,65.85,64.65,64.95,79.55,26.75,BHEL
2021-06-30,65.4,66.35,64.6,65.55,79.55,26.75,BHEL
2021-06-29,66.25,66.75,64.3,64.9,79.55,26.75,BHEL
2021-06-28,65.5,67.2,65.15,66.3,79.55,26.75,BHEL
2021-06-25,65.0,66.0,64.75,65.2,79.55,26.75,BHEL
2021-06-24,66.2,66.95,64.4,64.65,79.55,26.75,BHEL
2021-06-23,67.25,67.95,65.8,66.05,79.55,26.75,BHEL
2021-06-22,69.0,69.35,66.5,66.75,79.55,26.75,BHEL
2021-06-21,62.9,68.25,61.05,67.75,79.55,26.75,BHEL
2021-06-18,66.1,67.5,60.6,64.25,79.55,26.75,BHEL
2021-06-17,65.2,68.0,65.15,65.5,79.55,26.75,BHEL
2021-06-16,69.45,69.6,66.35,67.0,79.55,26.75,BHEL
2021-06-15,67.2,72.0,67.1,69.65,79.55,26.75,BHEL
2021-06-14,69.4,69.75,61.65,67.4,79.55,26.75,BHEL
2021-06-11,76.9,77.5,75.45,76.2,79.55,26.75,BHEL
2021-06-10,75.35,76.5,74.7,75.8,79.55,26.75,BHEL
2021-06-09,75.95,79.55,73.75,74.8,79.55,26.75,BHEL
2021-06-08,77.35,77.4,74.9,75.75,78.5,26.75,BHEL
2021-06-07,74.55,78.5,73.3,77.0,78.5,26.75,BHEL
2021-06-04,72.35,75.25,71.3,73.9,77.7,26.4,BHEL
2021-06-03,73.0,73.45,72.1,72.35,77.7,26.4,BHEL
2021-06-02,71.1,73.3,70.9,72.25,77.7,26.4,BHEL
2021-06-01,71.65,74.2,70.7,71.1,77.7,26.4,BHEL
2021-05-31,72.05,72.45,70.8,71.05,77.7,26.4,BHEL
2021-05-28,73.95,74.55,71.55,71.9,77.7,24.35,BHEL
2021-05-27,72.95,74.3,71.55,73.3,77.7,24.35,BHEL
2021-05-26,75.4,75.45,72.15,72.5,77.7,24.35,BHEL
2021-05-25,73.15,74.85,72.7,74.5,77.7,24.35,BHEL
2021-05-24,72.8,73.85,70.6,72.45,77.7,24.35,BHEL
2021-05-21,73.4,73.8,71.7,72.2,77.7,24.15,BHEL
2021-05-20,74.4,77.7,72.05,72.55,77.7,24.15,BHEL
2021-05-19,70.65,74.35,70.2,73.75,76.6,24.15,BHEL
2021-05-18,72.7,73.25,70.75,71.75,76.6,24.15,BHEL
2021-05-17,69.05,71.85,66.85,71.25,76.6,24.15,BHEL
2021-05-14,72.4,74.3,67.4,68.0,76.6,21.4,BHEL
2021-05-12,74.25,76.6,68.25,71.4,76.6,21.4,BHEL
2021-05-11,65.0,75.15,64.35,73.45,75.15,21.4,BHEL
2021-05-10,58.7,66.45,58.2,65.65,66.45,21.4,BHEL
2021-05-07,58.45,58.75,57.2,57.8,59.3,20.9,BHEL
2021-05-06,58.85,59.3,57.0,58.05,59.3,20.9,BHEL
2021-05-05,53.3,57.8,53.05,56.75,57.8,20.9,BHEL
2021-05-04,55.0,56.5,52.15,52.55,56.5,20.9,BHEL
2021-05-03,47.85,55.15,47.4,53.5,56.5,20.9,BHEL
2021-04-30,46.8,49.4,46.2,48.3,56.5,20.4,BHEL
2021-04-29,48.5,49.15,47.05,47.2,56.5,20.4,BHEL
2021-04-28,48.55,48.85,47.9,48.1,56.5,20.4,BHEL
2021-04-27,46.3,48.5,46.2,48.3,56.5,20.4,BHEL
2021-04-26,45.8,46.55,45.55,46.15,56.5,20.4,BHEL
2021-04-23,44.55,46.25,44.5,45.4,56.5,20.4,BHEL
2021-04-22,44.0,44.9,43.5,44.7,56.5,20.4,BHEL
2021-04-20,44.9,45.35,43.9,44.2,56.5,20.4,BHEL
2021-04-19,44.0,44.6,43.0,44.05,56.5,20.4,BHEL
2021-04-16,46.4,47.05,45.7,46.2,56.5,20.4,BHEL
2021-04-15,46.5,47.15,45.0,46.05,56.5,20.4,BHEL
2021-04-13,45.55,46.8,44.6,46.55,56.5,20.4,BHEL
2021-04-12,50.0,50.0,44.3,45.05,56.5,20.4,BHEL
2021-04-09,51.9,52.5,51.1,51.5,56.5,20.4,BHEL
2021-04-08,49.9,53.05,49.85,51.6,56.5,20.4,BHEL
2021-04-07,49.35,50.8,49.35,50.0,56.5,20.4,BHEL
2021-04-06,49.4,50.5,48.25,49.35,56.5,20.4,BHEL
2021-04-05,51.0,51.1,48.4,49.0,56.5,20.4,BHEL
2021-04-01,49.0,51.2,48.95,50.95,56.5,19.65,BHEL
2021-03-31,48.9,49.75,48.4,48.75,56.5,19.65,BHEL
2021-03-30,49.2,49.6,48.3,48.95,56.5,19.65,BHEL
2021-03-26,49.0,49.5,48.45,48.7,56.5,19.15,BHEL
2021-03-25,49.9,50.0,46.9,48.2,56.5,19.15,BHEL
2021-03-24,51.35,51.7,49.5,49.85,56.5,19.15,BHEL
2021-03-23,52.45,52.65,51.45,51.75,56.5,19.15,BHEL
2021-03-22,52.05,52.8,51.25,52.2,56.5,19.15,BHEL
2021-03-19,51.7,52.5,49.15,52.0,56.5,19.15,BHEL
2021-03-18,52.2,53.8,50.6,52.1,56.5,19.15,BHEL
2021-03-17,54.0,54.0,49.2,50.1,56.5,19.15,BHEL
2021-03-16,55.8,56.2,53.5,53.9,56.5,19.15,BHEL
2021-03-15,56.0,56.0,54.05,55.25,56.5,19.15,BHEL
2021-03-12,55.1,56.35,52.55,53.4,56.5,18.4,BHEL
2021-03-10,55.6,56.5,54.3,54.8,56.5,18.4,BHEL
2021-03-09,54.95,56.5,53.1,54.85,56.5,18.4,BHEL
2021-03-08,53.45,55.5,53.0,54.4,56.1,18.4,BHEL
2021-03-05,54.75,55.9,50.35,52.45,56.1,18.4,BHEL
2021-03-04,50.35,56.1,49.9,54.25,56.1,18.4,BHEL
2021-03-03,52.2,52.65,50.6,51.0,52.65,18.4,BHEL
2021-03-02,49.4,52.2,49.25,51.75,52.2,18.4,BHEL
2021-03-01,48.7,49.6,47.6,48.8,49.6,18.4,BHEL
2021-02-26,46.0,48.8,45.35,47.6,48.8,18.4,BHEL
2021-02-25,43.55,48.0,43.4,47.15,48.0,18.4,BHEL
2021-02-24,41.2,43.35,36.65,42.95,44.4,18.4,BHEL
2021-02-23,39.9,41.45,39.5,40.7,44.4,18.4,BHEL
2021-02-22,40.1,40.55,39.1,39.65,44.4,18.4,BHEL
2021-02-19,42.75,43.25,39.6,40.4,44.4,18.4,BHEL
2021-02-18,40.2,44.05,39.95,43.0,44.4,18.4,BHEL
2021-02-17,40.0,40.8,39.1,40.05,44.4,18.4,BHEL
2021-02-16,39.05,40.0,38.4,39.9,44.4,18.4,BHEL
2021-02-15,39.05,39.45,38.6,38.9,44.4,18.4,BHEL
2021-02-12,38.95,39.45,38.6,38.8,44.4,18.4,BHEL
2021-02-11,38.45,39.15,38.15,38.75,44.4,18.4,BHEL
2021-02-10,38.65,39.4,37.8,38.25,44.4,18.4,BHEL
2021-02-09,39.6,39.75,38.4,38.75,44.4,18.4,BHEL
2021-02-08,41.25,41.5,39.55,39.85,44.4,18.4,BHEL
2021-02-05,42.65,44.15,41.25,43.55,44.4,18.4,BHEL
2021-02-04,39.9,42.5,39.6,42.2,44.4,18.4,BHEL
2021-02-03,39.15,41.35,39.1,39.7,44.4,18.4,BHEL
2021-02-02,38.65,39.95,38.05,38.9,44.4,18.4,BHEL
2021-02-01,36.5,38.45,35.4,38.2,44.4,18.4,BHEL
2021-01-29,37.0,37.5,35.8,36.05,45.1,18.4,BHEL
2021-01-28,35.35,36.8,35.1,36.6,45.1,18.4,BHEL
2021-01-27,35.85,36.2,35.4,35.7,45.1,18.4,BHEL
2021-01-25,37.75,38.25,36.0,36.25,45.1,18.4,BHEL
2021-01-22,38.5,39.3,37.1,37.65,46.55,18.4,BHEL
2021-01-21,41.0,41.25,38.5,38.75,46.55,18.4,BHEL
2021-01-20,39.7,40.7,39.4,40.5,46.55,18.4,BHEL
2021-01-19,38.1,40.0,38.1,39.75,46.55,18.4,BHEL
2021-01-18,39.4,39.6,37.25,38.05,46.55,18.4,BHEL
2021-01-15,40.2,40.5,38.85,39.4,47.75,18.4,BHEL
2021-01-14,40.4,40.7,39.6,40.2,47.75,18.4,BHEL
2021-01-13,39.65,42.3,39.65,40.75,47.75,18.4,BHEL
2021-01-12,39.0,40.0,38.6,39.35,47.75,18.4,BHEL
2021-01-11,39.75,40.0,38.3,39.0,47.75,18.4,BHEL
2021-01-08,39.65,40.55,39.0,39.35,47.75,18.4,BHEL
2021-01-07,39.8,40.15,39.1,39.3,47.75,18.4,BHEL
2021-01-06,40.35,40.65,38.25,39.4,47.75,18.4,BHEL
2021-01-05,40.25,40.65,39.6,40.15,47.75,18.4,BHEL
2021-01-04,39.3,40.85,38.75,40.65,47.75,18.4,BHEL
2021-01-01,36.15,39.0,36.0,38.7,47.75,18.4,BHEL
2020-12-31,35.4,36.5,35.15,35.9,47.75,18.4,BHEL
2020-12-30,36.1,36.4,34.95,35.4,47.75,18.4,BHEL
2020-12-29,35.5,35.75,34.3,35.4,47.75,18.4,BHEL
2020-12-28,34.0,35.5,33.9,35.25,47.75,18.4,BHEL
2020-12-24,34.3,34.55,33.6,33.8,47.75,18.4,BHEL
2020-12-23,32.7,34.15,32.55,33.95,47.75,18.4,BHEL
2020-12-22,32.65,33.3,30.6,32.65,47.75,18.4,BHEL
2020-12-21,35.5,35.7,32.1,32.55,47.75,18.4,BHEL
2020-12-18,35.9,36.15,34.55,35.85,47.75,18.4,BHEL
2020-12-17,36.45,36.8,35.75,35.85,47.75,18.4,BHEL
2020-12-16,36.65,36.95,36.1,36.35,47.75,18.4,BHEL
2020-12-15,36.85,36.85,35.7,36.35,47.75,18.4,BHEL
2020-12-14,36.45,37.2,35.85,36.85,47.75,18.4,BHEL
2020-12-11,35.75,37.0,35.45,35.95,47.75,18.4,BHEL
2020-12-10,36.45,36.65,34.7,35.65,47.75,18.4,BHEL
2020-12-09,36.95,37.6,36.3,36.6,47.75,18.4,BHEL
2020-12-08,35.3,36.8,34.1,36.15,47.75,18.4,BHEL
2020-12-07,34.4,35.35,34.25,34.95,47.75,18.4,BHEL
2020-12-04,34.55,35.4,33.7,34.25,53.8,18.4,BHEL
2020-12-03,34.25,34.8,34.0,34.2,53.8,18.4,BHEL
2020-12-02,34.25,34.5,33.05,33.8,53.8,18.4,BHEL
2020-12-01,33.3,34.4,32.85,34.05,53.8,18.4,BHEL
2020-11-27,31.65,33.45,31.6,32.85,56.85,18.4,BHEL
2020-11-26,30.9,31.6,30.55,31.45,56.85,18.4,BHEL
2020-11-25,31.45,31.95,30.35,30.65,56.85,18.4,BHEL
2020-11-24,31.7,31.9,30.75,31.35,56.85,18.4,BHEL
2020-11-23,29.6,31.55,29.25,31.35,56.85,18.4,BHEL
2020-11-20,29.4,29.7,28.65,29.2,57.1,18.4,BHEL
2020-11-19,28.4,30.2,28.2,29.15,57.1,18.4,BHEL
2020-11-18,28.3,28.6,28.15,28.45,57.1,18.4,BHEL
2020-11-17,28.4,28.6,28.1,28.25,57.1,18.4,BHEL
2020-11-14,28.25,28.5,28.15,28.3,57.85,18.4,BHEL
2020-11-13,28.05,28.15,27.8,27.95,57.85,18.4,BHEL
2020-11-12,27.95,28.45,27.8,28.1,57.85,18.4,BHEL
2020-11-11,28.2,29.25,27.7,27.95,57.85,18.4,BHEL
2020-11-10,28.2,28.45,27.8,28.2,57.85,18.4,BHEL
2020-11-09,27.65,28.45,27.4,28.2,57.85,18.4,BHEL
2020-11-06,28.55,28.9,27.8,27.95,58.0,18.4,BHEL
2020-11-05,27.5,29.15,27.35,28.4,58.0,18.4,BHEL
2020-11-04,28.0,28.05,26.95,27.2,58.0,18.4,BHEL
2020-11-03,27.95,28.2,27.6,27.95,58.0,18.4,BHEL
2020-11-02,28.25,28.3,27.5,27.85,58.0,18.4,BHEL
2020-10-30,27.85,28.45,27.35,28.0,61.1,18.4,BHEL
2020-10-29,28.3,28.4,27.45,27.8,61.1,18.4,BHEL
2020-10-28,29.55,29.55,28.5,28.65,61.1,18.4,BHEL
2020-10-27,29.5,30.4,28.65,29.65,61.1,18.4,BHEL
2020-10-26,29.3,30.25,29.15,29.45,61.1,18.4,BHEL
2020-10-23,28.95,29.4,28.85,29.1,61.1,18.4,BHEL
2020-10-22,28.0,29.0,27.9,28.8,61.1,18.4,BHEL
2020-10-21,28.55,29.1,28.05,28.45,61.1,18.4,BHEL
2020-10-20,28.5,29.25,28.2,28.65,61.1,18.4,BHEL
2020-10-19,27.4,28.85,27.15,28.65,61.1,18.4,BHEL
2020-10-16,27.15,27.45,26.75,27.2,61.1,18.4,BHEL
2020-10-15,27.9,27.9,27.0,27.15,61.1,18.4,BHEL
2020-10-14,28.0,28.15,27.65,27.95,61.1,18.4,BHEL
2020-10-13,28.5,28.65,28.15,28.3,61.1,18.4,BHEL
2020-10-12,29.4,29.4,28.45,28.6,61.1,18.4,BHEL
2020-10-09,29.45,29.45,28.9,29.1,61.1,18.4,BHEL
2020-10-08,28.45,29.5,28.45,29.25,61.1,18.4,BHEL
2020-10-07,29.35,29.4,28.25,28.4,61.1,18.4,BHEL
2020-10-06,29.7,29.8,29.15,29.35,61.1,18.4,BHEL
2020-10-05,29.7,30.0,29.4,29.55,61.1,18.4,BHEL
2020-10-01,29.7,29.9,29.2,29.6,61.1,18.4,BHEL
2020-09-30,30.3,30.45,29.2,29.25,61.1,18.4,BHEL
2020-09-29,32.25,32.35,30.1,30.25,61.1,18.4,BHEL
2020-09-28,30.85,32.25,30.5,31.8,61.1,18.4,BHEL
2020-09-25,30.0,30.45,28.85,30.15,61.1,18.4,BHEL
2020-09-24,30.8,30.95,29.55,29.85,61.1,18.4,BHEL
2020-09-23,33.1,33.3,30.9,31.5,61.1,18.4,BHEL
2020-09-22,34.5,34.55,32.3,32.6,61.1,18.4,BHEL
2020-09-21,34.5,35.55,34.0,34.25,61.1,18.4,BHEL
2020-09-18,35.5,35.75,34.5,34.65,61.1,18.4,BHEL
2020-09-17,35.65,35.7,35.0,35.15,61.1,18.4,BHEL
2020-09-16,36.15,36.15,35.55,35.65,61.1,18.4,BHEL
2020-09-15,36.65,36.65,35.7,35.95,61.1,18.4,BHEL
2020-09-14,36.2,37.45,36.0,36.25,61.1,18.4,BHEL
2020-09-11,37.35,37.85,37.0,37.1,61.1,18.4,BHEL
2020-09-10,37.0,37.3,36.35,37.05,61.1,18.4,BHEL
2020-09-09,37.1,37.2,35.6,36.5,61.1,18.4,BHEL
2020-09-08,38.35,38.8,37.0,37.5,61.1,18.4,BHEL
2020-09-07,38.95,39.15,38.15,38.45,61.1,18.4,BHEL
2020-09-04,38.95,39.85,38.5,38.7,61.1,18.4,BHEL
2020-09-03,39.15,40.4,38.75,40.0,61.1,18.4,BHEL
2020-09-02,38.9,39.4,38.05,39.15,61.1,18.4,BHEL
2020-09-01,39.0,39.55,37.35,38.55,61.1,18.4,BHEL
2020-08-31,42.05,42.45,38.0,38.55,61.1,18.4,BHEL
2020-08-28,40.25,42.1,40.1,41.65,61.1,18.4,BHEL
2020-08-27,40.0,40.9,39.05,39.2,61.1,18.4,BHEL
2020-08-26,40.0,40.6,39.4,39.95,61.1,18.4,BHEL
2020-08-25,41.0,41.15,39.6,40.0,61.1,18.4,BHEL
2020-08-24,41.5,42.4,40.65,40.9,61.1,18.4,BHEL
2020-08-21,39.45,41.95,39.2,40.65,61.1,18.4,BHEL
2020-08-20,37.55,39.7,37.2,38.5,61.1,18.4,BHEL
2020-08-19,37.75,38.65,37.7,38.0,61.1,18.4,BHEL
2020-08-18,37.2,37.7,37.1,37.45,61.1,18.4,BHEL
2020-08-17,37.9,37.9,36.7,37.0,61.1,18.4,BHEL
2020-08-14,39.2,39.45,36.7,37.35,61.1,18.4,BHEL
2020-08-13,36.5,39.55,36.2,38.95,61.1,18.4,BHEL
2020-08-12,36.2,36.65,35.9,36.05,61.1,18.4,BHEL
2020-08-11,36.6,36.75,35.6,35.75,61.1,18.4,BHEL
2020-08-10,36.0,37.65,35.85,36.25,61.1,18.4,BHEL
2020-08-07,35.4,35.55,34.75,35.25,61.1,18.4,BHEL
2020-08-06,36.75,37.05,35.5,35.7,61.1,18.4,BHEL
2020-08-05,36.85,37.15,36.45,36.7,61.1,18.4,BHEL
2020-08-04,36.45,37.45,36.0,36.65,61.1,18.4,BHEL
2020-08-03,36.15,36.85,35.7,36.2,61.1,18.4,BHEL
2020-07-31,36.8,36.95,35.75,35.95,61.1,18.4,BHEL
2020-07-30,38.8,39.0,36.45,36.8,61.1,18.4,BHEL
2020-07-29,37.4,40.1,37.35,38.45,61.1,18.4,BHEL
2020-07-28,36.1,37.7,35.9,37.45,61.1,18.4,BHEL
2020-07-27,36.9,36.9,35.8,36.2,61.1,18.4,BHEL
2020-07-24,37.4,37.7,36.6,36.9,64.5,18.4,BHEL
2020-07-23,37.9,38.3,37.6,37.7,64.5,18.4,BHEL
2020-07-22,38.3,38.95,37.5,38.0,64.5,18.4,BHEL
2020-07-21,38.5,38.6,37.7,38.0,64.5,18.4,BHEL
2020-07-20,38.75,39.05,37.8,38.0,64.5,18.4,BHEL
2020-07-17,36.9,39.15,36.8,38.35,65.55,18.4,BHEL
2020-07-16,37.5,38.15,36.15,36.9,65.55,18.4,BHEL
2020-07-15,39.5,39.9,36.35,36.8,65.55,18.4,BHEL
2020-07-14,41.95,41.95,38.5,38.9,65.55,18.4,BHEL
2020-07-13,42.45,43.0,41.8,42.6,65.55,18.4,BHEL
2020-07-10,42.15,42.45,41.15,41.4,70.35,18.4,BHEL
2020-07-09,41.8,43.1,41.25,42.05,70.35,18.4,BHEL
2020-07-08,42.5,43.05,41.0,41.25,70.35,18.4,BHEL
2020-07-07,43.75,44.1,42.2,42.55,70.35,18.4,BHEL
2020-07-06,39.05,44.4,38.8,43.55,70.35,18.4,BHEL
2020-07-03,37.0,39.0,36.65,38.65,74.25,18.4,BHEL
2020-07-02,37.0,37.15,36.4,36.7,74.25,18.4,BHEL
2020-07-01,36.3,36.7,35.4,36.05,74.25,18.4,BHEL
2020-06-30,36.6,37.8,35.0,35.7,74.25,18.4,BHEL
2020-06-29,36.2,36.8,35.35,35.75,74.25,18.4,BHEL
2020-06-26,38.7,38.7,36.5,36.9,75.5,18.4,BHEL
2020-06-25,36.3,38.5,35.55,37.85,75.5,18.4,BHEL
2020-06-24,36.0,39.8,35.6,36.35,75.5,18.4,BHEL
2020-06-23,34.1,35.4,33.7,34.9,75.5,18.4,BHEL
2020-06-22,32.95,34.9,32.25,33.65,75.5,18.4,BHEL
2020-06-19,32.65,33.0,31.75,32.45,75.5,18.4,BHEL
2020-06-18,28.65,32.15,28.5,31.75,75.5,18.4,BHEL
2020-06-17,28.3,28.65,27.35,27.45,75.5,18.4,BHEL
2020-06-16,29.9,30.0,27.6,28.35,75.5,18.4,BHEL
2020-06-15,29.25,30.6,28.5,29.1,75.5,18.4,BHEL
2020-06-12,28.4,31.8,28.25,31.4,75.5,18.4,BHEL
2020-06-11,30.8,32.3,29.75,30.0,75.5,18.4,BHEL
2020-06-10,31.5,32.4,30.55,31.3,75.5,18.4,BHEL
2020-06-09,28.25,31.45,27.8,30.65,75.5,18.4,BHEL
2020-06-08,28.55,28.75,27.55,27.95,75.5,18.4,BHEL
2020-06-05,27.0,27.95,26.9,27.75,75.5,18.4,BHEL
2020-06-04,27.9,28.05,26.4,26.8,75.5,18.4,BHEL
2020-06-03,28.2,28.75,27.4,27.7,75.5,18.4,BHEL
2020-06-02,28.2,28.55,27.45,28.0,75.5,18.4,BHEL
2020-06-01,28.4,29.0,27.7,28.0,75.5,18.4,BHEL
2020-05-29,26.8,28.45,26.15,28.0,75.5,18.4,BHEL
2020-05-28,25.4,27.25,25.15,26.85,75.5,18.4,BHEL
2020-05-27,25.25,25.35,24.75,25.2,75.5,18.4,BHEL
2020-05-26,25.0,25.45,24.35,24.85,75.5,18.4,BHEL
2020-05-22,25.4,25.55,24.15,24.55,75.5,18.4,BHEL
2020-05-21,26.0,26.25,25.3,25.55,75.5,18.4,BHEL
2020-05-20,25.1,26.6,25.0,25.95,75.5,18.4,BHEL
2020-05-19,26.4,26.55,25.3,25.4,75.5,18.4,BHEL
2020-05-18,27.7,28.45,25.85,26.05,75.5,18.4,BHEL
2020-05-15,27.5,28.25,27.0,27.3,75.5,18.4,BHEL
2020-05-14,26.9,29.25,25.0,27.45,75.5,18.4,BHEL
2020-05-13,23.1,27.15,22.15,26.6,75.5,18.4,BHEL
2020-05-12,22.4,22.4,21.4,21.5,75.5,18.4,BHEL
2020-05-11,22.55,23.0,22.1,22.55,75.5,18.4,BHEL
2020-05-08,23.35,23.5,21.8,22.2,75.5,18.4,BHEL
2020-05-07,22.9,23.3,22.75,23.05,75.5,18.4,BHEL
2020-05-06,23.05,23.4,22.75,23.0,75.5,18.4,BHEL
2020-05-05,24.65,24.65,22.6,22.9,75.5,18.4,BHEL
2020-05-04,21.7,24.85,20.9,23.5,75.5,18.4,BHEL
2020-04-30,21.3,22.9,21.15,22.45,75.5,18.4,BHEL
2020-04-29,21.0,21.35,20.85,20.95,75.5,18.4,BHEL
2020-04-28,20.75,21.15,20.65,20.95,75.5,18.4,BHEL
2020-04-27,20.95,20.95,20.4,20.65,75.5,18.4,BHEL
2020-04-24,21.1,21.4,20.6,20.65,75.85,18.4,BHEL
2020-04-23,21.6,21.85,21.2,21.4,75.85,18.4,BHEL
2020-04-22,21.6,21.85,20.9,21.35,75.85,18.4,BHEL
2020-04-21,22.25,22.25,21.55,21.7,75.85,18.4,BHEL
2020-04-20,22.0,23.15,21.6,22.55,75.85,18.4,BHEL
2020-04-17,22.6,22.6,21.5,21.85,78.85,18.4,BHEL
2020-04-16,21.45,21.9,21.15,21.7,78.85,18.4,BHEL
