DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-01-06,4.95,5.05,4.75,5.0,6.95,2.5,MAGNUM
2021-01-05,4.95,5.05,4.75,4.95,6.95,2.5,MAGNUM
2021-01-04,5.0,5.1,4.6,4.95,6.95,2.5,MAGNUM
2021-01-01,4.9,5.0,4.65,4.85,6.95,2.5,MAGNUM
2020-12-31,4.85,5.05,4.4,4.85,6.95,2.5,MAGNUM
2020-12-30,4.85,4.9,4.85,4.85,6.95,2.5,MAGNUM
2020-12-29,4.75,4.95,4.6,4.85,6.95,2.5,MAGNUM
2020-12-28,4.85,4.85,4.5,4.65,6.95,2.5,MAGNUM
2020-12-24,4.85,5.1,4.6,4.85,6.95,2.5,MAGNUM
2020-12-23,4.75,4.9,4.6,4.85,6.95,2.5,MAGNUM
2020-12-22,4.7,4.85,4.45,4.65,6.95,2.5,MAGNUM
2020-12-21,5.1,5.1,4.7,4.7,6.95,2.5,MAGNUM
2020-12-18,5.25,5.25,4.8,4.85,6.95,2.5,MAGNUM
2020-12-17,5.1,5.15,4.8,5.05,6.95,2.5,MAGNUM
2020-12-16,5.1,5.1,4.8,4.9,6.95,2.5,MAGNUM
2020-12-15,5.1,5.25,4.9,5.05,6.95,2.5,MAGNUM
2020-12-14,4.8,5.1,4.65,5.1,6.95,2.5,MAGNUM
2020-12-11,4.9,5.15,4.55,4.8,6.95,2.5,MAGNUM
2020-12-10,4.75,5.0,4.75,4.9,6.95,2.5,MAGNUM
2020-12-09,4.7,4.85,4.45,4.7,6.95,2.5,MAGNUM
2020-12-08,4.95,4.95,4.5,4.7,6.95,2.5,MAGNUM
2020-12-07,5.3,5.3,4.4,4.5,6.95,2.5,MAGNUM
2020-12-04,5.0,5.0,4.7,4.85,6.95,2.5,MAGNUM
2020-12-03,4.7,4.9,4.7,4.9,6.95,2.5,MAGNUM
2020-12-02,5.05,5.05,4.65,4.85,6.95,2.5,MAGNUM
2020-12-01,4.9,4.9,4.6,4.85,6.95,2.5,MAGNUM
2020-11-27,4.9,4.9,4.65,4.7,6.95,2.5,MAGNUM
2020-11-26,4.8,4.9,4.65,4.85,6.95,2.5,MAGNUM
2020-11-25,4.9,4.9,4.6,4.85,6.95,2.5,MAGNUM
2020-11-24,4.65,5.0,4.65,4.7,6.95,2.5,MAGNUM
2020-11-23,4.7,4.85,4.55,4.8,6.95,2.5,MAGNUM
2020-11-20,4.45,4.85,4.45,4.65,6.95,2.5,MAGNUM
2020-11-19,4.5,4.75,4.5,4.65,6.95,2.5,MAGNUM
2020-11-18,4.8,5.0,4.6,4.7,6.95,2.5,MAGNUM
2020-11-17,4.5,4.8,4.5,4.8,6.95,2.5,MAGNUM
2020-11-14,5.0,5.0,4.6,4.6,6.95,2.5,MAGNUM
2020-11-13,4.5,4.8,4.5,4.8,6.95,2.5,MAGNUM
2020-11-12,4.45,4.75,4.45,4.6,6.95,2.5,MAGNUM
2020-11-11,4.45,4.65,4.25,4.65,6.95,2.5,MAGNUM
2020-11-10,4.25,4.45,4.15,4.45,6.95,2.5,MAGNUM
2020-11-09,4.25,4.25,3.95,4.25,6.95,2.5,MAGNUM
2020-11-06,4.0,4.05,4.0,4.05,6.95,2.5,MAGNUM
2020-11-05,4.0,4.3,3.9,3.9,6.95,2.5,MAGNUM
2020-11-04,4.1,4.3,4.1,4.1,6.95,2.5,MAGNUM
2020-11-03,4.3,4.55,4.3,4.3,6.95,2.5,MAGNUM
2020-11-02,4.3,4.65,4.3,4.5,6.95,2.5,MAGNUM
2020-10-30,4.4,4.5,4.35,4.45,6.95,2.5,MAGNUM
2020-10-29,4.55,4.65,4.55,4.55,6.95,2.5,MAGNUM
2020-10-28,4.5,4.8,4.5,4.75,6.95,2.5,MAGNUM
2020-10-27,4.65,4.85,4.45,4.6,6.95,2.5,MAGNUM
2020-10-26,4.65,4.9,4.65,4.65,6.95,2.5,MAGNUM
2020-10-23,5.15,5.15,4.8,4.85,6.95,2.5,MAGNUM
2020-10-22,5.2,5.35,4.9,5.05,6.95,2.5,MAGNUM
2020-10-21,5.15,5.4,5.15,5.15,6.95,2.5,MAGNUM
2020-10-20,4.95,5.45,4.95,5.4,6.95,2.5,MAGNUM
2020-10-19,5.0,5.25,5.0,5.2,6.95,2.5,MAGNUM
2020-10-16,5.25,5.5,5.25,5.25,6.95,2.5,MAGNUM
2020-10-15,5.5,5.5,5.5,5.5,6.95,2.5,MAGNUM
2020-10-14,5.75,5.75,5.75,5.75,6.95,2.5,MAGNUM
2020-10-13,6.05,6.05,6.05,6.05,6.95,2.5,MAGNUM
2020-10-12,6.95,6.95,6.35,6.35,6.95,2.5,MAGNUM
2020-10-09,6.6,6.65,6.05,6.65,6.65,2.5,MAGNUM
2020-10-08,6.15,6.35,5.75,6.35,6.65,2.5,MAGNUM
2020-10-07,6.05,6.05,5.6,6.05,6.65,2.5,MAGNUM
2020-10-06,5.8,5.8,5.55,5.8,6.65,2.5,MAGNUM
2020-10-05,5.55,5.55,5.3,5.55,6.65,2.5,MAGNUM
2020-10-01,5.3,5.3,5.1,5.3,6.65,2.5,MAGNUM
2020-09-30,5.05,5.05,5.05,5.05,6.65,2.5,MAGNUM
2020-09-29,4.85,4.85,4.6,4.85,6.65,2.5,MAGNUM
2020-09-28,4.25,4.65,4.25,4.65,6.65,2.5,MAGNUM
2020-09-25,4.5,4.5,4.1,4.45,6.65,2.5,MAGNUM
2020-09-24,4.1,4.35,3.95,4.3,6.65,2.5,MAGNUM
2020-09-23,4.15,4.25,4.15,4.15,6.65,2.5,MAGNUM
2020-09-22,4.6,4.6,4.2,4.2,6.65,2.5,MAGNUM
2020-09-21,4.4,4.7,4.4,4.4,6.65,2.5,MAGNUM
2020-09-18,4.2,4.6,4.2,4.6,6.65,2.5,MAGNUM
2020-09-17,4.15,4.55,4.15,4.4,6.65,2.5,MAGNUM
2020-09-16,4.35,4.35,4.1,4.35,6.65,2.5,MAGNUM
2020-09-15,4.2,4.4,4.0,4.15,6.65,2.5,MAGNUM
2020-09-14,4.4,4.4,4.2,4.2,6.65,2.5,MAGNUM
2020-09-11,4.6,4.6,4.4,4.4,6.65,2.5,MAGNUM
2020-09-10,4.6,4.6,4.25,4.6,6.65,2.5,MAGNUM
2020-09-09,4.6,4.6,4.4,4.4,6.65,2.5,MAGNUM
2020-09-08,5.0,5.0,4.6,4.6,6.65,2.5,MAGNUM
2020-09-07,4.9,4.9,4.5,4.8,6.65,2.5,MAGNUM
2020-09-04,5.05,5.05,4.7,4.7,6.65,2.5,MAGNUM
2020-09-03,5.3,5.3,4.8,4.85,6.65,2.5,MAGNUM
2020-09-02,5.1,5.1,4.75,5.05,6.65,2.5,MAGNUM
2020-09-01,5.3,5.3,4.85,4.9,6.65,2.5,MAGNUM
2020-08-31,5.35,5.35,4.9,5.1,6.65,2.5,MAGNUM
2020-08-28,5.6,5.65,5.15,5.15,6.65,2.5,MAGNUM
2020-08-27,5.6,5.75,5.4,5.4,6.65,2.5,MAGNUM
2020-08-26,5.55,6.0,5.55,5.65,6.65,2.5,MAGNUM
2020-08-25,5.75,6.1,5.75,5.75,6.65,2.5,MAGNUM
2020-08-24,6.65,6.65,6.05,6.05,6.65,2.5,MAGNUM
2020-08-21,6.25,6.35,5.75,6.35,6.35,2.5,MAGNUM
2020-08-20,5.85,6.1,5.8,6.05,6.1,2.5,MAGNUM
2020-08-19,5.85,6.1,5.8,5.85,6.1,2.5,MAGNUM
2020-08-18,5.6,6.1,5.6,6.1,6.1,2.5,MAGNUM
2020-07-01,4.7,4.7,4.7,4.7,4.7,2.5,MAGNUM
2020-06-30,4.5,4.5,4.5,4.5,4.5,2.5,MAGNUM
2020-06-29,4.3,4.3,4.3,4.3,4.3,2.5,MAGNUM
2020-06-26,4.1,4.1,4.1,4.1,6.9,2.5,MAGNUM
2020-06-25,3.65,3.95,3.65,3.95,6.9,2.5,MAGNUM
2020-06-24,3.85,3.85,3.65,3.8,6.9,2.5,MAGNUM
2020-06-23,3.7,3.7,3.5,3.7,6.9,2.5,MAGNUM
2020-06-22,3.7,3.7,3.4,3.55,6.9,2.5,MAGNUM
2020-06-19,3.65,3.85,3.55,3.55,7.45,2.5,MAGNUM
2020-06-18,3.95,3.95,3.65,3.7,7.45,2.5,MAGNUM
2020-06-17,3.85,3.85,3.75,3.8,7.45,2.5,MAGNUM
2020-06-16,3.65,3.7,3.4,3.7,7.45,2.5,MAGNUM
2020-06-15,3.2,3.4,2.9,3.4,7.45,2.5,MAGNUM
2020-06-12,3.1,3.1,2.85,3.1,7.45,2.5,MAGNUM
2020-06-11,2.7,3.3,2.7,2.85,7.45,2.5,MAGNUM
2020-06-10,3.4,3.4,2.8,3.0,7.45,2.5,MAGNUM
2020-06-09,3.0,3.1,2.8,3.1,7.45,2.5,MAGNUM
2020-06-08,3.2,3.2,2.7,2.85,7.45,2.5,MAGNUM
2020-06-05,3.05,3.05,2.8,2.95,7.45,2.5,MAGNUM
2020-06-04,2.8,2.8,2.7,2.8,7.45,2.5,MAGNUM
2020-06-03,2.8,2.8,2.6,2.8,7.45,2.5,MAGNUM
2020-06-02,2.5,2.7,2.5,2.7,7.45,2.5,MAGNUM
2020-06-01,2.65,2.75,2.55,2.6,7.45,2.55,MAGNUM
2020-05-29,2.65,2.65,2.65,2.65,7.45,2.65,MAGNUM
2020-05-28,2.65,2.65,2.65,2.65,7.45,2.65,MAGNUM
2020-05-27,2.65,2.65,2.65,2.65,7.45,2.65,MAGNUM
2020-03-25,3.35,3.35,3.35,3.35,7.45,2.65,MAGNUM
2020-03-24,3.6,3.6,3.5,3.5,7.45,2.65,MAGNUM
2020-03-20,3.6,3.6,3.6,3.6,7.45,2.65,MAGNUM
2020-03-19,3.5,3.65,3.5,3.65,7.45,2.65,MAGNUM
2020-03-18,3.55,3.55,3.25,3.5,7.45,2.65,MAGNUM
2020-03-17,3.45,3.45,3.15,3.4,7.45,2.65,MAGNUM
2020-03-16,3.15,3.3,3.15,3.3,7.45,2.65,MAGNUM
2020-03-13,3.0,3.15,3.0,3.15,7.45,2.65,MAGNUM
2020-03-12,3.3,3.3,3.0,3.0,7.45,2.65,MAGNUM
2020-03-11,3.15,3.15,2.85,3.15,7.45,2.65,MAGNUM
2020-03-09,2.95,3.0,2.9,3.0,7.45,2.65,MAGNUM
2020-03-06,2.95,2.95,2.8,2.9,7.45,2.65,MAGNUM
2020-03-04,2.85,2.85,2.65,2.85,7.45,2.65,MAGNUM
2020-03-03,2.75,2.75,2.75,2.75,7.45,2.7,MAGNUM
2020-03-02,2.75,2.75,2.75,2.75,7.45,2.7,MAGNUM
2020-02-28,3.0,3.15,2.85,2.85,7.45,2.7,MAGNUM
2020-02-27,3.0,3.0,3.0,3.0,7.45,2.7,MAGNUM
2020-02-26,2.9,3.0,2.9,2.9,7.45,2.7,MAGNUM
2020-02-25,3.0,3.0,2.85,2.9,7.45,2.7,MAGNUM
2020-02-24,2.95,3.0,2.95,3.0,7.45,2.7,MAGNUM
2020-02-20,2.9,2.95,2.9,2.95,7.45,2.7,MAGNUM
2020-02-19,2.7,2.9,2.7,2.9,7.45,2.7,MAGNUM
2020-02-18,2.95,2.95,2.8,2.8,7.45,2.8,MAGNUM
2020-02-17,2.85,2.9,2.85,2.85,7.45,2.85,MAGNUM
2020-02-14,2.95,2.95,2.85,2.95,7.45,2.85,MAGNUM
2020-02-13,2.95,2.95,2.95,2.95,7.45,2.95,MAGNUM
2020-02-12,3.05,3.1,3.05,3.1,7.45,3.0,MAGNUM
2020-02-11,3.35,3.35,3.2,3.2,7.45,3.0,MAGNUM
2020-02-10,3.35,3.35,3.35,3.35,7.45,3.0,MAGNUM
2020-02-07,3.25,3.4,3.1,3.3,7.45,3.0,MAGNUM
2020-02-06,3.25,3.25,3.0,3.25,7.45,3.0,MAGNUM
2020-02-05,3.25,3.25,3.1,3.15,7.45,3.1,MAGNUM
2020-02-04,3.25,3.25,3.1,3.25,7.45,3.1,MAGNUM
2020-02-03,3.5,3.5,3.25,3.25,7.45,3.25,MAGNUM
2020-01-31,3.4,3.4,3.4,3.4,7.45,3.25,MAGNUM
2020-01-30,3.55,3.55,3.25,3.25,7.45,3.25,MAGNUM
2020-01-29,3.55,3.55,3.4,3.4,7.45,3.4,MAGNUM
2020-01-28,3.55,3.85,3.55,3.55,7.45,3.5,MAGNUM
2020-01-27,3.6,3.7,3.6,3.7,7.45,3.5,MAGNUM
2020-01-24,3.95,3.95,3.7,3.75,7.45,3.5,MAGNUM
2020-01-23,3.85,3.85,3.85,3.85,7.45,3.5,MAGNUM
2020-01-21,3.9,3.95,3.8,3.95,7.45,3.5,MAGNUM
2020-01-17,4.0,4.0,3.95,4.0,7.45,3.5,MAGNUM
2020-01-16,3.95,3.95,3.8,3.95,7.45,3.5,MAGNUM
2020-01-15,3.95,3.95,3.9,3.9,7.45,3.5,MAGNUM
2020-01-14,3.65,3.95,3.65,3.95,7.45,3.5,MAGNUM
2020-01-13,3.85,3.85,3.8,3.8,7.45,3.5,MAGNUM
2020-01-10,3.85,3.95,3.75,3.95,7.45,3.5,MAGNUM
2020-01-09,3.85,3.95,3.8,3.8,7.45,3.5,MAGNUM
2020-01-08,3.7,3.8,3.7,3.8,7.45,3.5,MAGNUM
2020-01-07,3.6,3.7,3.55,3.7,7.45,3.5,MAGNUM
2020-01-06,3.65,3.8,3.5,3.55,7.45,3.5,MAGNUM
2020-01-03,3.8,3.95,3.65,3.65,7.45,3.65,MAGNUM
2020-01-02,4.1,4.1,3.8,3.8,7.6,3.7,MAGNUM
2020-01-01,3.8,4.05,3.75,4.0,8.4,3.7,MAGNUM
2019-12-31,3.9,4.05,3.9,3.9,9.0,3.7,MAGNUM
2019-12-30,3.7,3.9,3.7,3.9,9.0,3.7,MAGNUM
2019-12-27,3.95,3.95,3.8,3.8,9.0,3.7,MAGNUM
2019-12-26,3.7,3.95,3.7,3.95,9.0,3.7,MAGNUM
2019-12-24,3.8,3.8,3.8,3.8,9.0,3.8,MAGNUM
2019-12-23,3.8,3.85,3.8,3.8,9.0,3.8,MAGNUM
